quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2008-07-01,518.0,640406,12.0,54.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2010-05-01,370.0,640406,9.0,25.0,,640406,HOTEL 1 NIGHT PRICE,North West
2019-08-01,5059.0,640406,9.0,106.0,,640406,HOTEL 1 NIGHT PRICE,North West
2010-06-01,5001.0,640406,3.0,135.5,,640406,HOTEL 1 NIGHT PRICE,South East
2019-02-01,729.0,640406,3.0,99.0,,640406,HOTEL 1 NIGHT PRICE,South East
2015-06-01,514.0,640406,2.0,125.0,,640406,HOTEL 1 NIGHT PRICE,London
2010-01-01,5001.0,640406,8.0,85.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2005-11-01,263.0,640406,8.0,40.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2010-11-01,5133.0,640406,9.0,50.0,,640406,HOTEL 1 NIGHT PRICE,North West
2017-07-01,673.0,640406,3.0,99.0,,640406,HOTEL 1 NIGHT PRICE,South East
2016-08-01,464.0,640406,5.0,50.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2014-10-01,5120.0,640406,7.0,71.75,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2015-03-01,5073.0,640406,3.0,97.0,,640406,HOTEL 1 NIGHT PRICE,South East
2007-06-01,529.0,640406,2.0,60.450001,,640406,HOTEL 1 NIGHT PRICE,London
2023-01-01,5120.0,640406,7.0,148.99001,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2008-12-01,522.0,640406,2.0,70.0,S,640406,HOTEL 1 NIGHT PRICE,London
2015-11-01,357.0,640406,5.0,69.989998,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2022-06-01,18036.0,640406,10.0,120.0,,640406,HOTEL 1 NIGHT PRICE,North
2019-12-01,729.0,640406,3.0,209.0,,640406,HOTEL 1 NIGHT PRICE,South East
2024-01-01,18917.0,640406,2.0,205.0,,640406,HOTEL 1 NIGHT PRICE,London
2006-10-01,511.0,640406,10.0,59.0,,640406,HOTEL 1 NIGHT PRICE,North
2011-08-01,5180.0,640406,12.0,68.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2018-06-01,5059.0,640406,9.0,82.0,,640406,HOTEL 1 NIGHT PRICE,North West
2010-06-01,441.0,640406,4.0,40.0,,640406,HOTEL 1 NIGHT PRICE,South West
2012-08-01,441.0,640406,4.0,30.0,,640406,HOTEL 1 NIGHT PRICE,South West
2008-01-01,397.0,640406,8.0,25.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2015-03-01,5074.0,640406,3.0,41.950001,,640406,HOTEL 1 NIGHT PRICE,South East
2005-03-01,544.0,640406,2.0,155.0,,640406,HOTEL 1 NIGHT PRICE,London
2018-12-01,211.0,640406,8.0,40.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2006-12-01,505.0,640406,3.0,90.0,,640406,HOTEL 1 NIGHT PRICE,South East
2016-04-01,675.0,640406,9.0,89.989998,,640406,HOTEL 1 NIGHT PRICE,North West
