Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
455,Daniel Theis,32,NOP,C,24,7,352,11.4,.537,.311,.270,5.9,22.2,13.7,14.0,1.2,4.0,16.2,11.8,0.2,0.2,0.4,.057,-3.8,0.2,-3.6,-0.1,,theisda01
456,Ben Sheppard,23,IND,SG,20,6,398,7.7,.555,.710,.000,2.9,11.1,7.1,6.8,1.0,1.4,6.5,11.7,0.2,0.1,0.4,.043,-2.6,-0.7,-3.4,-0.1,,sheppbe01
457,Hunter Tyson,24,DEN,PF,22,0,203,8.7,.583,.568,.341,5.1,15.6,10.6,6.5,0.9,1.3,15.1,12.3,0.1,0.1,0.3,.062,-3.5,-1.4,-4.9,-0.2,,tysonhu01
458,Blake Wesley,21,SAS,SG,23,0,259,10.1,.522,.263,.276,2.5,5.3,3.9,25.5,1.7,1.0,20.5,17.8,0.0,0.2,0.1,.024,-3.3,-1.0,-4.3,-0.2,,weslebl01
459,Vit Krejci,24,ATL,PG,20,3,294,7.6,.454,.611,.194,3.6,11.9,7.7,17.4,1.7,2.6,17.0,13.0,-0.1,0.2,0.1,.023,-4.4,0.3,-4.1,-0.2,,krejcvi01
460,Zeke Nnaji,24,DEN,PF,19,0,88,4.0,.408,.346,.192,2.6,6.0,4.4,5.6,0.5,2.0,6.6,14.4,-0.1,0.0,-0.1,-0.050,-6.5,-2.5,-8.9,-0.2,,nnajize01
461,Malaki Branham,21,SAS,SG,22,0,261,10.0,.558,.448,.190,1.3,11.3,6.4,15.2,1.3,0.7,18.6,23.0,-0.2,0.2,0.0,-0.006,-2.7,-1.7,-4.3,-0.2,,branhma01
462,Simone Fontecchio,29,DET,SF,30,0,536,9.6,.564,.660,.268,3.8,13.9,8.9,6.8,0.9,0.9,12.8,15.6,0.3,0.3,0.6,.051,-2.0,-1.2,-3.2,-0.2,,fontesi01
463,Jett Howard,21,ORL,SF,32,0,333,7.8,.501,.727,.091,3.7,9.2,6.3,6.4,0.7,1.8,8.7,18.0,-0.1,0.4,0.3,.043,-2.9,-1.0,-3.9,-0.2,,howarje01
464,Enrique Freeman,24,IND,PF,17,1,119,5.4,.501,.273,.409,3.9,9.3,6.6,6.3,0.8,1.6,13.4,10.9,0.0,0.0,0.0,.004,-5.3,-1.9,-7.2,-0.2,,freemen01
