series,date,share,label
Australian Dollars,2003-10-01,,Other
Canadian Dollars,2003-10-01,,Other
Swiss Francs,2003-10-01,0.002256272546838171,Other
U.S. Dollars,2004-01-01,0.6708893269831077,US Dollar
Euro,2004-01-01,0.2343574104792701,Other
Chinese Renminbi,2004-01-01,,Chinese Renminbi
Japanese Yen,2004-01-01,0.04463835328897372,Other
Pounds Sterling,2004-01-01,0.028334040577345246,Other
Australian Dollars,2004-01-01,,Other
Canadian Dollars,2004-01-01,,Other
Swiss Francs,2004-01-01,0.002249603265158216,Other
U.S. Dollars,2004-04-01,0.6739367333779689,US Dollar
Euro,2004-04-01,0.23308936862602994,Other
Chinese Renminbi,2004-04-01,,Chinese Renminbi
Japanese Yen,2004-04-01,0.04329029070414515,Other
Pounds Sterling,2004-04-01,0.02843658477598763,Other
Australian Dollars,2004-04-01,,Other
Canadian Dollars,2004-04-01,,Other
Swiss Francs,2004-04-01,0.0023522317462709033,Other
U.S. Dollars,2004-07-01,0.6688835080381784,US Dollar
Euro,2004-07-01,0.23767538935030574,Other
Chinese Renminbi,2004-07-01,,Chinese Renminbi
Japanese Yen,2004-07-01,0.04058443044064215,Other
Pounds Sterling,2004-07-01,0.0319995417670737,Other
Australian Dollars,2004-07-01,,Other
Canadian Dollars,2004-07-01,,Other
Swiss Francs,2004-07-01,0.0016866863716138583,Other
U.S. Dollars,2004-10-01,0.6550728747530564,US Dollar
Euro,2004-10-01,0.24679747028213292,Other
Chinese Renminbi,2004-10-01,,Chinese Renminbi
Japanese Yen,2004-10-01,0.042841254532213914,Other
Pounds Sterling,2004-10-01,0.03492915087697017,Other
Australian Dollars,2004-10-01,,Other
Canadian Dollars,2004-10-01,,Other
Swiss Francs,2004-10-01,0.0016642960354951856,Other
U.S. Dollars,2005-01-01,0.6514290640079851,US Dollar
Euro,2005-01-01,0.24900793281561992,Other
Chinese Renminbi,2005-01-01,,Chinese Renminbi
Japanese Yen,2005-01-01,0.04253232664439353,Other
Pounds Sterling,2005-01-01,0.03740317481060577,Other
Australian Dollars,2005-01-01,,Other
Canadian Dollars,2005-01-01,,Other
Swiss Francs,2005-01-01,0.0017005273007160578,Other
U.S. Dollars,2005-04-01,0.6581286096159906,US Dollar
Euro,2005-04-01,0.24550499653168867,Other
Chinese Renminbi,2005-04-01,,Chinese Renminbi
Japanese Yen,2005-04-01,0.041306474972694913,Other
Pounds Sterling,2005-04-01,0.036663541773207846,Other
Australian Dollars,2005-04-01,,Other
Canadian Dollars,2005-04-01,,Other
Swiss Francs,2005-04-01,0.001332045186289482,Other
U.S. Dollars,2005-07-01,0.6607948225090667,US Dollar
Euro,2005-07-01,0.2412563909554475,Other
Chinese Renminbi,2005-07-01,,Chinese Renminbi
Japanese Yen,2005-07-01,0.04120267769348646,Other
Pounds Sterling,2005-07-01,0.037587596375892825,Other
Australian Dollars,2005-07-01,,Other
Canadian Dollars,2005-07-01,,Other
Swiss Francs,2005-07-01,0.0014443853209851177,Other
U.S. Dollars,2005-10-01,0.6651516123410013,US Dollar
Euro,2005-10-01,0.23889827322629079,Other
Chinese Renminbi,2005-10-01,,Chinese Renminbi
Japanese Yen,2005-10-01,0.039601600818542325,Other
Pounds Sterling,2005-10-01,0.0374746832601781,Other
Australian Dollars,2005-10-01,,Other
Canadian Dollars,2005-10-01,,Other
Swiss Francs,2005-10-01,0.0014570468412058125,Other
U.S. Dollars,2006-01-01,0.6615791992021591,US Dollar
Euro,2006-01-01,0.24371011794570993,Other
Chinese Renminbi,2006-01-01,,Chinese Renminbi
Japanese Yen,2006-01-01,0.036388409164485984,Other
Pounds Sterling,2006-01-01,0.04087983422885479,Other
Australian Dollars,2006-01-01,,Other
Canadian Dollars,2006-01-01,,Other
Swiss Francs,2006-01-01,0.0016038207808917115,Other
U.S. Dollars,2006-04-01,0.6551120013880686,US Dollar
Euro,2006-04-01,0.24906367934356305,Other
Chinese Renminbi,2006-04-01,,Chinese Renminbi
Japanese Yen,2006-04-01,0.03426837949256218,Other
Pounds Sterling,2006-04-01,0.04300074603484189,Other
Australian Dollars,2006-04-01,,Other
Canadian Dollars,2006-04-01,,Other
Swiss Francs,2006-04-01,0.0015187647746938092,Other
U.S. Dollars,2006-07-01,0.6591472451942217,US Dollar
Euro,2006-07-01,0.24572432363468313,Other
Chinese Renminbi,2006-07-01,,Chinese Renminbi
Japanese Yen,2006-07-01,0.03303372385436805,Other
Pounds Sterling,2006-07-01,0.043376226370281275,Other
Australian Dollars,2006-07-01,,Other
Canadian Dollars,2006-07-01,,Other
Swiss Francs,2006-07-01,0.001618877756705299,Other
U.S. Dollars,2006-10-01,0.6487062213717306,US Dollar
Euro,2006-10-01,0.2523942300552841,Other
Chinese Renminbi,2006-10-01,,Chinese Renminbi
