player,id,VORP,best,category,surname
Miles McBride,NYK,0.4,0,other,McBride
Austin Reaves,LAL,0.4,0,other,Reaves
Naz Reid,MIN,0.4,0,other,Reid
Paolo Banchero,ORL,0.4,0,other,Banchero
Isaac Okoro,CLE,0.4,0,other,Okoro
Chris Boucher,TOR,0.4,0,other,Boucher
Jared McCain,PHI,0.4,0,other,McCain
Sam Hauser,BOS,0.4,0,other,Hauser
Nic Claxton,BRK,0.4,0,other,Claxton
Jonathan Kuminga,GSW,0.4,0,other,Kuminga
Kyle Anderson,GSW,0.4,0,other,Anderson
Alex Caruso,OKC,0.4,0,other,Caruso
Cam Thomas,BRK,0.4,0,other,Thomas
Jamal Murray,DEN,0.4,0,other,Murray
Jeremy Sochan,SAS,0.4,0,other,Sochan
Guerschon Yabusele,PHI,0.4,0,other,Yabusele
Kentavious Caldwell-Pope,ORL,0.3,0,other,Caldwell-Pope
Quentin Grimes,DAL,0.3,0,other,Grimes
Malik Monk,SAC,0.3,0,other,Monk
Onyeka Okongwu,ATL,0.3,0,other,Okongwu
Zach Edey,MEM,0.3,0,other,Edey
Jaden Ivey,DET,0.3,0,other,Ivey
Derrick Jones Jr.,LAC,0.3,0,other,Jones
Aaron Wiggins,OKC,0.3,0,other,Wiggins
Aaron Gordon,DEN,0.3,0,other,Gordon
Cameron Payne,NYK,0.3,0,other,Payne
Brandon Clarke,MEM,0.3,0,other,Clarke
Nikola Jović,MIA,0.3,0,other,Jović
Christian Braun,DEN,0.3,0,other,Braun
Isaiah Stewart,DET,0.3,0,other,Stewart
Robert Williams,POR,0.3,0,other,Williams
Jalen Green,HOU,0.3,0,other,Green
Spencer Dinwiddie,DAL,0.3,0,other,Dinwiddie
Dalano Banton,POR,0.3,0,other,Banton
Naji Marshall,DAL,0.3,0,other,Marshall
John Konchar,MEM,0.3,0,other,Konchar
Dwight Powell,DAL,0.3,0,other,Powell
Buddy Hield,GSW,0.3,0,other,Hield
Alec Burks,MIA,0.3,0,other,Burks
Dru Smith,MIA,0.3,0,other,Smith
Julian Champagnie,SAS,0.3,0,other,Champagnie
Gary Payton II,GSW,0.3,0,other,Payton
Wendell Carter Jr.,ORL,0.3,0,other,Carter
Brandon Ingram,NOP,0.2,0,other,Ingram
Garrison Mathews,ATL,0.2,0,other,Mathews
Clint Capela,ATL,0.2,0,other,Capela
Dillon Brooks,HOU,0.2,0,other,Brooks
Nicolas Batum,LAC,0.2,0,other,Batum
Justin Champagnie,WAS,0.2,0,other,Champagnie
Khris Middleton,MIL,0.2,0,other,Middleton
Marcus Sasser,DET,0.2,0,other,Sasser
Jamison Battle,TOR,0.2,0,other,Battle
Lonzo Ball,CHI,0.2,0,other,Ball
Jonathan Isaac,ORL,0.2,0,other,Isaac
Tobias Harris,DET,0.2,0,other,Harris
Ben Simmons,BRK,0.2,0,other,Simmons
Amir Coffey,LAC,0.2,0,other,Coffey
Kevon Looney,GSW,0.2,0,other,Looney
Sandro Mamukelashvili,SAS,0.2,0,other,Mamukelashvili
Bones Hyland,LAC,0.2,0,other,Hyland
Josh Minott,MIN,0.2,0,other,Minott
Cody Martin,CHO,0.2,0,other,Martin
Zach Collins,SAS,0.2,0,other,Collins
Ochai Agbaji,TOR,0.2,0,other,Agbaji
Isaiah Joe,OKC,0.2,0,other,Joe
Ryan Rollins,MIL,0.2,0,other,Rollins
Marcus Smart,MEM,0.2,0,other,Smart
Tyrese Martin,BRK,0.2,0,other,Martin
CJ McCollum,NOP,0.2,0,other,McCollum
Aaron Holiday,HOU,0.2,0,other,Holiday
Jalen Smith,CHI,0.2,0,other,Smith
Sam Merrill,CLE,0.2,0,other,Merrill
Neemias Queta,BOS,0.2,0,other,Queta
Josh Okogie,PHO,0.2,0,other,Okogie
Ayo Dosunmu,CHI,0.1,0,other,Dosunmu
Myles Turner,IND,0.1,0,other,Turner
Mason Plumlee,PHO,0.1,0,other,Plumlee
Cam Whitmore,HOU,0.1,0,other,Whitmore
Malcolm Brogdon,WAS,0.1,0,other,Brogdon
Harrison Barnes,SAS,0.1,0,other,Barnes
Brandon Boston Jr.,NOP,0.1,0,other,Boston
Duncan Robinson,MIA,0.1,0,other,Robinson
JT Thor,CLE,0.1,0,other,Thor
Devin Vassell,SAS,0.1,0,other,Vassell
Collin Sexton,UTA,0.1,0,other,Sexton
Jaylin Williams,OKC,0.1,0,other,Williams
Kevin Love,MIA,0.1,0,other,Love
Brandin Podziemski,GSW,0.1,0,other,Podziemski
Grayson Allen,PHO,0.1,0,other,Allen
Wendell Moore Jr.,DET,0.1,0,other,Moore
Alex Len,SAC,0.1,0,other,Len
Talen Horton-Tucker,CHI,0.1,0,other,Horton-Tucker
Torrey Craig,CHI,0.1,0,other,Craig
Craig Porter Jr.,CLE,0.1,0,other,Porter
Landry Shamet,NYK,0.1,0,other,Shamet
Jose Alvarado,NOP,0.1,0,other,Alvarado
Jonathan Mogbo,TOR,0.1,0,other,Mogbo
Drew Eubanks,UTA,0.1,0,other,Eubanks
Tre Jones,SAS,0.1,0,other,Jones
Kel'el Ware,MIA,0.1,0,other,Ware
A.J. Green,MIL,0.1,0,other,Green
Trevelin Queen,ORL,0.1,0,other,Queen
Ajay Mitchell,OKC,0.1,0,other,Mitchell
Terance Mann,LAC,0.1,0,other,Mann
Rui Hachimura,LAL,0.1,0,other,Hachimura
Steven Adams,HOU,0.1,0,other,Adams
Dariq Whitehead,BRK,0.1,0,other,Whitehead
Kelly Oubre Jr.,PHI,0.1,0,other,Oubre
Kai Jones,LAC,0.1,0,other,Jones
Pat Spencer,GSW,0.1,0,other,Spencer
Bradley Beal,PHO,0.1,0,other,Beal
Kelly Olynyk,TOR,0.1,0,other,Olynyk
Jarace Walker,IND,0.1,0,other,Walker
Grant Williams,CHO,0.1,0,other,Williams
Precious Achiuwa,NYK,0.1,0,other,Achiuwa
Chris Duarte,CHI,0.1,0,other,Duarte
DaQuan Jeffries,CHO,0.1,0,other,Jeffries
Jordan Clarkson,UTA,0.1,0,other,Clarkson
KJ Martin,PHI,0.1,0,other,Martin
Georges Niang,CLE,0.1,0,other,Niang
Jae'Sean Tate,HOU,0.1,0,other,Tate
Micah Potter,UTA,0.1,0,other,Potter
Marvin Bagley III,WAS,0.1,0,other,Bagley
Immanuel Quickley,TOR,0.1,0,other,Quickley
Haywood Highsmith,MIA,0.1,0,other,Highsmith
Tyler Smith,MIL,0.1,0,other,Smith
Isaiah Jackson,IND,0.0,0,other,Jackson
Johnny Davis,WAS,0.0,0,other,Davis
Jevon Carter,CHI,0.0,0,other,Carter
Peyton Watson,DEN,0.0,0,other,Watson
Trey Lyles,SAC,0.0,0,other,Lyles
Deandre Ayton,POR,0.0,0,other,Ayton
Jaden McDaniels,MIN,0.0,0,other,McDaniels
DeAndre Jordan,DEN,0.0,0,other,Jordan
Monte Morris,PHO,0.0,0,other,Morris
Kyle Lowry,PHI,0.0,0,other,Lowry
Reggie Jackson,PHI,0.0,0,other,Jackson
Alondes Williams,DET,0.0,0,other,Williams
Jalen Pickett,DEN,0.0,0,other,Pickett
Cory Joseph,ORL,0.0,0,other,Joseph
Drew Peterson,BOS,0.0,0,other,Peterson
Bruno Fernando,TOR,0.0,0,other,Fernando
Zion Williamson,NOP,0.0,0,other,Williamson
Jeenathan Williams,HOU,0.0,0,other,Williams
Charles Bassey,SAS,0.0,0,other,Bassey
David Roddy,ATL,0.0,0,other,Roddy
De'Anthony Melton,GSW,0.0,0,other,Melton
Jaxson Hayes,LAL,0.0,0,other,Hayes
TyTy Washington Jr.,PHO,0.0,0,other,Washington
Leonard Miller,MIN,0.0,0,other,Miller
E.J. Liddell,CHI,0.0,0,other,Liddell
Mason Jones,SAC,0.0,0,other,Jones
PJ Dozier,MIN,0.0,0,other,Dozier
Patrick Baldwin Jr.,WAS,0.0,0,other,Baldwin
Cam Spencer,MEM,0.0,0,other,Spencer
Olivier-Maxence Prosper,DAL,0.0,0,other,Prosper
Seth Curry,CHO,0.0,0,other,Curry
Jared Butler,WAS,0.0,0,other,Butler
Collin Gillespie,PHO,0.0,0,other,Gillespie
Kobe Brown,LAC,0.0,0,other,Brown
Mac McClung,ORL,0.0,0,other,McClung
Pete Nance,PHI,0.0,0,other,Nance
Alex Reese,OKC,0.0,0,other,Reese
Chris Livingston,MIL,0.0,0,other,Livingston
A.J. Lawson,TOR,0.0,0,other,Lawson
Moses Moody,GSW,0.0,0,other,Moody
Bryce McGowens,POR,0.0,0,other,McGowens
Cam Christie,LAC,0.0,0,other,Christie
Jeff Dowtin,PHI,0.0,0,other,Dowtin
Jaylen Martin,BRK,0.0,0,other,Martin
Oscar Tshiebwe,UTA,0.0,0,other,Tshiebwe
Bol Bol,PHO,0.0,0,other,Bol
Quinten Post,GSW,0.0,0,other,Post
James Wiseman,IND,0.0,0,other,Wiseman
Jeff Green,HOU,0.0,0,other,Green
Joe Ingles,MIN,0.0,0,other,Ingles
Sidy Cissoko,SAS,0.0,0,other,Cissoko
Duop Reath,POR,0.0,0,other,Reath
Day'Ron Sharpe,BRK,0.0,0,other,Sharpe
Gary Harris,ORL,0.0,0,other,Harris
Luka Garza,MIN,0.0,0,other,Garza
Jalen Hood-Schifino,LAL,0.0,0,other,Hood-Schifino
Adama Sanogo,CHI,0.0,0,other,Sanogo
Justin Edwards,PHI,0.0,0,other,Edwards
Elfrid Payton,NOP,0.0,0,other,Payton
Aaron Nesmith,IND,0.0,0,other,Nesmith
Terrence Shannon Jr.,MIN,0.0,0,other,Shannon
Brice Sensabaugh,UTA,0.0,0,other,Sensabaugh
Stanley Umude,MIL,0.0,0,other,Umude
Kyle Filipowski,UTA,0.0,0,other,Filipowski
Richaun Holmes,WAS,0.0,0,other,Holmes
Tre Mann,CHO,0.0,0,other,Mann
Keldon Johnson,SAS,0.0,0,other,Johnson
Isaiah Crawford,SAC,0.0,0,other,Crawford
Trentyn Flowers,LAC,0.0,0,other,Flowers
Taze Moore,POR,0.0,0,other,Moore
Mo Bamba,LAC,0.0,0,other,Bamba
Orlando Robinson,SAC,0.0,0,other,Robinson
Jacob Toppin,NYK,0.0,0,other,Toppin
Donovan Clingan,POR,0.0,0,other,Clingan
Riley Minix,SAS,0.0,0,other,Minix
Justin Minaya,POR,0.0,0,other,Minaya
Keshad Johnson,MIA,0.0,0,other,Johnson
Jared Rhoden,CHO,0.0,0,other,Rhoden
David Duke Jr.,SAS,0.0,0,other,Duke
James Johnson,IND,0.0,0,other,Johnson
Jaime Jaquez Jr.,MIA,0.0,0,other,Jaquez
AJ Johnson,MIL,0.0,0,other,Johnson
Harrison Ingram,SAS,0.0,0,other,Ingram
Anfernee Simons,POR,0.0,0,other,Simons
Dominick Barlow,ATL,0.0,0,other,Barlow
Bruce Brown,TOR,0.0,0,other,Brown
Quenton Jackson,IND,0.0,0,other,Jackson
Tristan Vukcevic,WAS,0.0,0,other,Vukcevic
Tyler Kolek,NYK,0.0,0,other,Kolek
Yuki Kawamura,MEM,0.0,0,other,Kawamura
Jamal Cain,NOP,0.0,0,other,Cain
Taylor Hendricks,UTA,0.0,0,other,Hendricks
Josh Christopher,MIA,0.0,0,other,Christopher
Jock Landale,HOU,0.0,0,other,Landale
Quincy Olivari,LAL,0.0,0,other,Olivari
Max Strus,CLE,0.0,0,other,Strus
Jerami Grant,POR,0.0,0,other,Grant
Liam Robbins,MIL,0.0,0,other,Robbins
Spencer Jones,DEN,0.0,0,other,Jones
PJ Hall,DEN,0.0,0,other,Hall
Jack McVeigh,HOU,0.0,0,other,McVeigh
Daniss Jenkins,DET,0.0,0,other,Jenkins
Ricky Council IV,PHI,0.0,0,other,Council
Garrett Temple,TOR,0.0,0,other,Temple
Anthony Gill,WAS,0.0,0,other,Gill
Lester Quiñones,PHI,0.0,0,other,Quiñones
Ousmane Dieng,OKC,0.0,0,other,Dieng
Jaden Springer,BOS,0.0,0,other,Springer
Luke Travers,CLE,0.0,0,other,Travers
Bronny James,LAL,0.0,0,other,James
Mouhamed Gueye,ATL,0.0,0,other,Gueye
Ulrich Chomche,TOR,0.0,0,other,Chomche
Alex Ducas,OKC,0.0,0,other,Ducas
Andrew Nembhard,IND,0.0,0,other,Nembhard
Moses Brown,IND,0.0,0,other,Brown
Branden Carlson,OKC,0.0,0,other,Carlson
Vlatko Čančar,DEN,0.0,0,other,Čančar
Markieff Morris,DAL,0.0,0,other,Morris
Max Christie,LAL,0.0,0,other,Christie
Daishen Nix,MIN,-0.1,0,other,Nix
Jordan Walsh,BOS,-0.1,0,other,Walsh
Malevy Leons,OKC,-0.1,0,other,Leons
Jericho Sims,NYK,-0.1,0,other,Sims
Jae Crowder,SAC,-0.1,0,other,Crowder
Vince Williams Jr.,MEM,-0.1,0,other,Williams
Pacome Dadiet,NYK,-0.1,0,other,Dadiet
Shaedon Sharpe,POR,-0.1,0,other,Sharpe
Cui Yongxi,BRK,-0.1,0,other,Yongxi
Colin Castleton,MEM,-0.1,0,other,Castleton
Kobe Bufkin,ATL,-0.1,0,other,Bufkin
Cole Swider,DET,-0.1,0,other,Swider
Patrick Williams,CHI,-0.1,0,other,Williams
Jazian Gortman,DAL,-0.1,0,other,Gortman
Rob Dillingham,MIN,-0.1,0,other,Dillingham
Tristen Newton,IND,-0.1,0,other,Newton
Brandon Williams,DAL,-0.1,0,other,Williams
Adam Flagler,OKC,-0.1,0,other,Flagler
Jaylen Wells,MEM,-0.1,0,other,Wells
Karlo Matković,NOP,-0.1,0,other,Matković
Nick Richards,CHO,-0.1,0,other,Richards
Isaiah Wong,CHO,-0.1,0,other,Wong
Patty Mills,UTA,-0.1,0,other,Mills
Jordan McLaughlin,SAC,-0.1,0,other,McLaughlin
Svi Mykhailiuk,UTA,-0.1,0,other,Mykhailiuk
Johnny Furphy,IND,-0.1,0,other,Furphy
Eric Gordon,PHI,-0.1,0,other,Gordon
Bilal Coulibaly,WAS,-0.1,0,other,Coulibaly
Baylor Scheierman,BOS,-0.1,0,other,Scheierman
Isaac Jones,SAC,-0.1,0,other,Jones
JD Davison,BOS,-0.1,0,other,Davison
Caleb Martin,PHI,-0.1,0,other,Martin
D.J. Carton,TOR,-0.1,0,other,Carton
