bed_size,date,rent
overall,2023_01,1389.0
1br,2023_01,1220.0
2br,2023_01,1375.0
overall,2023_02,1392.0
1br,2023_02,1223.0
2br,2023_02,1378.0
overall,2023_03,1400.0
1br,2023_03,1230.0
2br,2023_03,1386.0
overall,2023_04,1407.0
1br,2023_04,1236.0
2br,2023_04,1393.0
overall,2023_05,1415.0
1br,2023_05,1243.0
2br,2023_05,1401.0
overall,2023_06,1421.0
1br,2023_06,1249.0
2br,2023_06,1407.0
overall,2023_07,1425.0
1br,2023_07,1252.0
2br,2023_07,1410.0
overall,2023_08,1423.0
1br,2023_08,1250.0
2br,2023_08,1408.0
overall,2023_09,1415.0
1br,2023_09,1243.0
2br,2023_09,1400.0
overall,2023_10,1404.0
1br,2023_10,1234.0
2br,2023_10,1390.0
overall,2023_11,1391.0
1br,2023_11,1222.0
2br,2023_11,1377.0
overall,2023_12,1380.0
1br,2023_12,1213.0
2br,2023_12,1366.0
overall,2024_01,1377.0
1br,2024_01,1210.0
2br,2024_01,1363.0
overall,2024_02,1380.0
1br,2024_02,1213.0
2br,2024_02,1366.0
overall,2024_03,1389.0
1br,2024_03,1220.0
2br,2024_03,1375.0
overall,2024_04,1397.0
1br,2024_04,1227.0
2br,2024_04,1382.0
overall,2024_05,1404.0
1br,2024_05,1234.0
2br,2024_05,1390.0
overall,2024_06,1410.0
1br,2024_06,1239.0
2br,2024_06,1396.0
overall,2024_07,1413.0
1br,2024_07,1242.0
2br,2024_07,1399.0
overall,2024_08,1412.0
1br,2024_08,1240.0
2br,2024_08,1397.0
overall,2024_09,1404.0
1br,2024_09,1234.0
2br,2024_09,1390.0
overall,2024_10,1394.0
1br,2024_10,1225.0
2br,2024_10,1380.0
