RegionID,SizeRank,name,RegionType,StateName,date,zori,lat,lng,rank
395050,125,"Salinas, CA",msa,CA,2015-03-31,1467.7920586499931,36.6883,-121.6317,19.0
395164,142,"Trenton, NJ",msa,NJ,2015-03-31,1534.0331762292649,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-03-31,1675.0616878866483,26.1504,-81.7936,14.0
394405,156,"Boulder, CO",msa,CO,2015-03-31,1582.3674121600784,40.0248,-105.2524,15.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-03-31,1534.4108146254705,35.2669,-120.669,16.0
395065,183,"Santa Cruz, CA",msa,CA,2015-03-31,1984.741536798417,36.9789,-122.0346,5.0
394913,1,"New York, NY",msa,NY,2015-04-30,2362.8668653710515,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-04-30,1866.5443850923823,34.1141,-118.4068,8.0
395209,6,"Washington, DC",msa,VA,2015-04-30,1748.0906207798637,38.9047,-77.0163,10.0
394856,8,"Miami, FL",msa,FL,2015-04-30,1521.1199353400311,25.784,-80.2101,18.0
394404,10,"Boston, MA",msa,MA,2015-04-30,2013.8522456785408,42.3188,-71.0852,5.0
395057,12,"San Francisco, CA",msa,CA,2015-04-30,2371.2358820813392,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-04-30,1701.2237634463463,32.8313,-117.1222,12.0
395059,36,"San Jose, CA",msa,CA,2015-04-30,2562.204025592852,37.3012,-121.848,1.0
753924,55,"Urban Honolulu, HI",msa,HI,2015-04-30,1921.142170812098,,,6.0
394415,60,"Bridgeport, CT",msa,CT,2015-04-30,1739.1169326289278,41.1918,-73.1954,11.0
394952,71,"Oxnard, CA",msa,CA,2015-04-30,1860.4330648206635,34.1964,-119.1815,9.0
395068,112,"Santa Rosa, CA",msa,CA,2015-04-30,1691.5356747934993,38.4458,-122.7067,13.0
395183,123,"Vallejo, CA",msa,CA,2015-04-30,1449.669621791185,38.1125,-122.2342,20.0
753917,124,"Santa Maria, CA",msa,CA,2015-04-30,1894.717970875454,34.9333,-120.4431,7.0
395050,125,"Salinas, CA",msa,CA,2015-04-30,1476.0030138872864,36.6883,-121.6317,19.0
395164,142,"Trenton, NJ",msa,NJ,2015-04-30,1553.8663201812867,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-04-30,1674.9568688206446,26.1504,-81.7936,14.0
394405,156,"Boulder, CO",msa,CO,2015-04-30,1598.7726226974555,40.0248,-105.2524,15.0
395061,175,"San Luis Obispo, CA",msa,CA,2015-04-30,1569.7798481871243,35.2669,-120.669,16.0
395065,183,"Santa Cruz, CA",msa,CA,2015-04-30,2035.696759175797,36.9789,-122.0346,4.0
394913,1,"New York, NY",msa,NY,2015-05-31,2378.7084866833025,40.6943,-73.9249,3.0
753899,2,"Los Angeles, CA",msa,CA,2015-05-31,1880.965934729396,34.1141,-118.4068,9.0
395209,6,"Washington, DC",msa,VA,2015-05-31,1757.6581635072375,38.9047,-77.0163,10.0
394856,8,"Miami, FL",msa,FL,2015-05-31,1529.9644056988277,25.784,-80.2101,18.0
394404,10,"Boston, MA",msa,MA,2015-05-31,2029.345185329749,42.3188,-71.0852,5.0
395057,12,"San Francisco, CA",msa,CA,2015-05-31,2406.2930099956025,37.7558,-122.4449,2.0
395056,17,"San Diego, CA",msa,CA,2015-05-31,1712.7215427253118,32.8313,-117.1222,13.0
395059,36,"San Jose, CA",msa,CA,2015-05-31,2618.595223341349,37.3012,-121.848,1.0
753924,55,"Urban Honolulu, HI",msa,HI,2015-05-31,1938.0983402337968,,,7.0
394415,60,"Bridgeport, CT",msa,CT,2015-05-31,1746.6375200490895,41.1918,-73.1954,11.0
394952,71,"Oxnard, CA",msa,CA,2015-05-31,1884.8022003025155,34.1964,-119.1815,8.0
395068,112,"Santa Rosa, CA",msa,CA,2015-05-31,1718.7960887364293,38.4458,-122.7067,12.0
395183,123,"Vallejo, CA",msa,CA,2015-05-31,1461.357103629595,38.1125,-122.2342,20.0
753917,124,"Santa Maria, CA",msa,CA,2015-05-31,1943.9114293794933,34.9333,-120.4431,6.0
395050,125,"Salinas, CA",msa,CA,2015-05-31,1479.8807467768129,36.6883,-121.6317,19.0
395164,142,"Trenton, NJ",msa,NJ,2015-05-31,1565.5268046190276,40.2237,-74.7641,17.0
394901,147,"Naples, FL",msa,FL,2015-05-31,1651.7475733218191,26.1504,-81.7936,14.0
