RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
102001,0,United States,country,,1242.289687790206,1249.0252071469308,1258.2286597346445,1267.5856826624185,1277.143068449511,1285.3305786842698,1291.4757943626,1295.2360863118904,1297.3210760775773,1297.879377667763,1298.3647146860953,1298.8546306739952,1302.0900040691658,1307.2476576692834,1313.7551905912321,1321.8027781777705,1330.2990099680833,1338.7513622516549,1343.8251339488443,1346.1610508659069,1346.0973521253065,1344.5422642416438,1343.2295988401638,1342.33402499232,1347.1951248732173,1355.1915310198817,1367.2921660246845,1377.3688704531517,1387.0742363628062,1394.4734746700433,1399.5862738864753,1401.3005299361575,1401.5973696712952,1400.0369613841365,1399.8958666284677,1400.8716119635137,1405.8429903180142,1413.5743416810622,1423.4994404897702,1433.4696667174283,1442.0635046956857,1449.9123142625883,1455.6168415262168,1459.0098054199786,1458.4324981682594,1457.5546818924172,1458.188806752043,1460.4133869547286,1464.944980152928,1471.297467728395,1481.9382595172667,1492.3883177733228,1502.628862376771,1510.9464773728453,1517.1789069950378,1520.503323044218,1520.4172975239467,1518.970191966806,1517.9031156439871,1519.0977093992199,1524.4694286632148,1532.866449361092,1541.384164388934,1541.8158735485692,1540.524647805961,1540.5775111177113,1545.7918577082057,1547.1800429117186,1544.523264599985,1541.5205681029408,1540.247347204821,1542.5726597496234,1549.5982343530497,1561.2468611039671,1576.9702713912038,1597.5132152028125,1624.50907605494,1655.938564892113,1689.1667782264979,1719.971350887455,1744.9613344759478,1760.7465601660926,1771.0554852651244,1781.0960186328994,1792.301954336353,1808.4332439803156,1825.070439769635,1846.7556341648851,1868.7110338911427,1891.9391029904994,1911.1810169906328,1922.2586375949625,1925.215586780754,1921.1017215245424,1915.2774548008083,1912.317427120355,1914.4256031108591,1921.3584243541409,1933.4662202812578,1944.8779276722807,1957.7086629102937,1966.6387076692654,1976.4048027999606,1982.135869306837,1984.2034050849713,1982.3256303322262,1978.7554225791762,1977.1614484829774,1981.134048319908,1989.7513411959865,2001.3293569605244,2013.0830204165854,2024.9928184852188,2035.6739203184172,2044.2465687766908,2048.5892502975867,2049.8856520500726
394913,1,"New York, NY",msa,NY,2358.422590702642,2373.8270632877848,2392.346565661307,2413.5032375898486,2429.4226446410703,2446.27888391352,2457.0223735922186,2467.277628647068,2471.2406371310367,2469.446161642894,2460.2152968914115,2451.0513094327753,2447.4357125410643,2451.67737613088,2459.526413622567,2472.3328258668002,2487.002266629713,2502.427987357245,2515.7812181120808,2520.0883202228006,2520.9305096949893,2513.0413027299073,2507.98983241994,2495.868292256149,2492.5153809225235,2493.1283839502853,2505.1164378650606,2519.778584598493,2538.341765173108,2553.883517260032,2564.9281592007005,2567.534771195206,2565.424146687139,2551.5683969239444,2535.5327961143194,2521.7802598489593,2520.028879909261,2527.121769444899,2540.1608648066776,2560.317382289744,2579.2985244694783,2597.5708786543128,2610.2714505185186,2619.99150692879,2620.4927190262406,2610.741713128717,2599.4148525630544,2588.3336517400435,2588.2986513135374,2596.8960695084274,2613.5944348522617,2631.437186005925,2652.9551846966447,2675.1136144500865,2691.502237519217,2698.6088948784854,2696.655594616639,2691.3499687531,2679.186295219219,2671.1677796804315,2670.62632376532,2683.936761513581,2694.0205939433185,2687.6315234578,2670.3327384703666,2646.400473188418,2620.5166256849143,,,2473.141194573255,2439.8617319574737,2426.9830536678946,2424.8183458212443,2439.100188566099,2461.10463177788,2490.774718414821,2537.1369244345256,2594.321143327621,2658.8753717910695,2720.6208584034584,2770.134847126634,2804.6286736263264,2826.8565030554846,2847.673582335369,2872.0481108915446,2905.8632266823515,2946.0063192985676,2989.4186251598567,3043.419978269304,3100.113964834413,3151.7179740991805,3180.6073573719254,3183.5183003524,3166.222367807122,3138.4254586103857,3117.192128900557,3113.344401023381,3126.251720847937,3154.2019191545032,3189.2335204422648,3227.1553009519434,3260.2462189835387,3283.5479847823044,3293.818173132235,3292.881344558977,3277.907538257708,3254.6374675983493,3237.48400035858,3241.4529375490793,3260.248485756932,3292.3133698549377,3321.64002126254,3355.901440745469,3384.7135340068035,3402.8292268384703,3408.1435261217857,3397.3494482002225
753899,2,"Los Angeles, CA",msa,CA,1838.0100770556237,1850.5385142264693,1866.3317115201853,1879.9539349700524,1894.660419878314,1906.7627270501812,1921.2476071080544,1931.6117830362004,1941.5294881586744,1946.7635457338376,1951.591891928718,1957.6551520058065,1967.0504204323108,1979.192876098162,1991.3172074597505,2001.04031300987,2014.738771961418,2027.6884190122937,2041.2512533537488,2047.2684376074849,2052.658247769688,2054.1382940737376,2056.80014558298,2059.6984213774585,2073.8377622465678,2090.137179413353,2111.644412139117,2125.4999676186217,2139.1917181054655,2148.5377776438154,2158.4409304624023,2163.8201231366243,2169.046673879932,2170.4497257103626,2175.65500855342,2179.616657108889,2190.975307857181,2202.7849823147417,2214.781522257131,2224.201816321296,2232.0960564795014,2243.7727833679655,2254.062010309467,2263.434625056152,2267.6403889194503,2271.918845133673,2277.473452293033,2283.135524890349,2288.4961546505747,2293.2722916092152,2305.199802933311,2315.471114306598,2327.5323184769272,2336.3798940749334,2345.320428986794,2351.943807850641,2355.9576484715853,2358.233848067903,2360.951347163992,2364.5382360040962,2371.7325444009175,2376.3182503170765,2376.4398171506455,2363.6360658554117,2351.4786754323495,2343.983177248922,2345.1854835550903,2345.255947996552,2344.549750491697,2346.0654734529458,2348.1613607786676,2348.3613703335964,2355.7650184004974,2364.915525446182,2379.649936287743,2391.8258742977537,2412.9378212542397,2448.393202129537,2496.6532910132723,2552.0860593469793,2594.825059716363,2621.675605239135,2636.895769225729,2655.437163985056,2675.48691440707,2701.977765535506,2726.841005560051,2757.7872591957575,2783.9490935391796,2808.917277716215,2829.3379661595804,2844.663936448137,2850.456618168952,2845.6390636107076,2837.7187450763568,2830.572851126083,2829.895952724724,2835.1172364645136,2848.6727024982906,2860.962414741696,2870.84774018187,2879.0195065439816,2891.4685876988024,2904.062110973935,2908.236450713775,2906.388122817042,2894.1177598281897,2887.1911918264286,2891.9275003870957,2904.672694147141,2921.4638501110644,2931.663943541477,2946.4761785948226,2959.8996523298765,2973.4613724666588,2979.695642478768,2983.960990932382
394463,3,"Chicago, IL",msa,IL,1399.429181656843,1406.2449198025681,1416.037514172885,1425.0087991304888,1435.471184840064,1445.064461262922,1449.5728125481828,1452.1375054866692,1446.9552824507264,1440.0249458302376,1433.6695739769264,1434.1136978299037,1441.8411025701726,1451.2188082348332,1462.363620576763,1469.776634791104,1477.6197424473244,1485.6122776486607,1492.0754718160642,1495.6652050054984,1488.7687314807479,1478.8280345560268,1466.9693725780755,1461.3740632600986,1467.4673627801615,1481.4711190808048,1500.0067672786738,1513.593243772402,1525.1393802652235,1530.9202390748462,1532.7987484432101,1528.0506268259232,1522.1060566573178,1510.93377041198,1504.224090115347,1501.4820645480957,1509.8432820100068,1521.183895563772,1534.5235578665502,1545.6783069428989,1555.7120285400906,1564.3235283373203,1568.664334872963,1566.7570756356188,1556.9281417478137,1545.6842450008578,1538.4995454935658,1539.3136363244457,1548.2148051907816,1558.6518311096504,1573.8832144555852,1586.6491040360772,1598.61366654716,1605.5694034865503,1608.7445044318388,1608.431987837626,1603.5461378302352,1596.7918196995033,1589.847347340882,1585.2112665965867,1593.51075436771,1605.2391866565406,1619.7064015626631,1620.9810483902352,1619.6351382023681,1616.518817641346,1615.413500147195,1609.5807857082896,1595.2485530443917,1574.0065005743243,1556.2572012661556,1548.4382972861774,1550.3139432073676,1561.3717218908107,1578.1002326848152,1604.216166793391,1631.0402880649358,1656.9165913047352,1676.2863114653953,1689.6392121234967,1696.930824023819,1696.8720390459105,1696.6268052346297,1701.7582718064295,1714.8252956930664,1730.7855414781427,1750.6110814506108,1773.9078624337915,1799.7827032270761,1820.607244978659,1837.4054425372794,1845.1320982244124,1846.3910435668859,1842.5200116292806,1837.4279693154847,1837.7721802574633,1844.6873826468195,1858.9529763409732,1876.3392798416444,1894.8969480827923,1916.0643419410046,1935.215508158216,1947.422965373392,1953.6552256475381,1950.4952710864382,1942.822078359998,1935.7240353550396,1938.4878832939353,1948.2876862107726,1962.8214410559908,1977.0339818527548,1997.5239600552443,2016.0679830108422,2033.5754561159058,2042.6150934318352,2045.885099697286,2044.0463781620936
394514,4,"Dallas, TX",msa,TX,1116.157757576983,1121.2851149980393,1128.9451884244916,1141.0816471504058,1151.039110430983,1159.6274175437284,1166.084154730114,1169.9761146264361,1171.386093533325,1171.2030330149742,1171.9657249474028,1173.9162682911078,1175.6759461242564,1181.2718034674667,1189.8686407167013,1201.0112900449838,1209.7782519328468,1216.741267067435,1221.469711123956,1225.0060264139274,1225.695222666789,1226.215488721794,1226.1735025930795,1226.528114467423,1231.5694989797516,1237.683781326678,1250.467454515922,1259.9841301109766,1272.5878527192153,1278.9648458274332,1284.2308766846263,1285.3756391152976,1284.495906441759,1281.9108075356082,1283.4618056512738,1284.2829141316986,1289.2408899738687,1295.2028799401448,1302.513695552917,1310.1403939928896,1315.2044893681684,1323.6109419779807,1327.7644785664204,1329.7930051134044,1326.867196601111,1328.556035880497,1329.5380305920824,1332.2819034300298,1335.0811159493019,1339.7735165164206,1351.1818259554652,1360.6872348365491,1369.815123382601,1376.6450327624864,1380.2060301498911,1382.8408867546552,1382.1256730670036,1380.985003443364,1378.432559750503,1374.2574150150103,1376.8922591450428,1383.1262638179476,1391.9645334483187,1392.1935932582267,1391.2606146281923,1392.014211536447,1396.5041406459634,1400.6770438391545,1402.720745751658,1405.820151883437,1407.3909266036176,1411.0227454999094,1416.3631713929467,1426.0371338077357,1437.2310260832992,1456.6731441790157,1482.8537149738142,1517.4842093470654,1552.8091876972571,1585.3327702743586,1609.9342748309693,1625.1628475255811,1637.6907510459691,1647.5086877677045,1658.8805800760194,1671.0292186158472,1684.5702219673185,1704.6202738573213,1727.5028742308164,1757.094402650158,1778.4066476296591,1786.8110510252484,1782.6823136762023,1769.879857625006,1760.230856962562,1750.9157179809354,1750.7283446845342,1752.9041708377563,1763.5692507880435,1767.6376256597082,1775.599282245064,1780.4343346791302,1788.6405041588127,1790.285200989503,1785.9809786633334,1779.5461143494883,1774.3031252199307,1767.7912912391093,1764.425172176609,1761.2684133600926,1765.5066054566282,1770.2456184076082,1778.2102103411978,1784.3618395413507,1790.6358707388858,1793.6927596172864,1789.640286487824
394692,5,"Houston, TX",msa,TX,1247.8590469188011,1251.5553814873306,1258.4763197070085,1268.530515685533,1278.2214037348624,1286.4925917047397,1288.9218239061352,1290.2498395009936,1287.731841650451,1284.07940722515,1280.1541611256755,1277.3458662016149,1278.387810607879,1280.9170274388741,1287.1979000604078,1291.0509571628043,1293.923356169804,1294.6567717088299,1294.552662452506,1292.0639057883043,1286.7276434079474,1282.8555486057876,1277.4093374613515,1275.2764817112989,1276.0634262432447,1284.2497676848943,1292.5689690927513,1297.6680859086625,1305.0432071493974,1307.0157092212348,1307.811201629449,1302.7451656962676,1309.7671498121906,1318.0237078355153,1329.352766918901,1334.7446111567167,1338.0817220055517,1343.670894936376,1345.376361822278,1352.244414916579,1354.8451111715754,1360.4828901439641,1360.591083218741,1359.2553717501764,1354.8088416541993,1355.4028539884491,1357.8060842263158,1358.5235763917678,1359.3986005303414,1358.1526990406694,1365.2691898436983,1370.2207191664072,1379.3040712047255,1385.1448827643367,1388.8104679424985,1388.177814248756,1385.1281307447068,1384.5510567364283,1384.4604896699293,1387.710723869925,1390.406741343059,1397.2024697649313,1402.5153744111817,1399.6087418527927,1392.3284149583355,1386.5192547629624,1390.6577601060899,1395.9351958165848,1397.2370550038734,1399.3950200886704,1401.2306101648367,1402.219470228987,1403.9254774022659,1404.4378087527396,1412.4792112558082,1425.184072299993,1447.1614512887709,1475.1596162118797,1501.745831159299,1525.9816720867318,1539.8641067209685,1547.750776935575,1552.2011369743977,1556.5603764701812,1563.447497990267,1573.6386613342638,1584.6328110033814,1597.701739430257,1610.196039157698,1625.8077361768576,1637.9782885688792,1644.1780830840557,1641.9878036016862,1637.0680140320255,1631.172147767283,1629.8110310450897,1633.7526861426888,1642.1100442120617,1653.9320501980587,1660.2616179021882,1670.178426969543,1677.713594686206,1684.6826631743893,1685.469250482185,1681.516326038713,1676.7053375807864,1672.2539574802242,1671.8416536030868,1675.5902126869305,1681.3145084222685,1686.633986767848,1694.8436860128872,1704.665385480087,1714.464558715352,1719.6468816919764,1722.493105005228,1723.16481999336
395209,6,"Washington, DC",msa,VA,1741.491782218586,1748.2014272860717,1759.7357925844221,1768.3184736449973,1777.9658841615849,1785.0260226153016,1788.8811119442325,1786.3859992586047,1785.111845308319,1780.455941734933,1780.1767253075077,1776.2419458161198,1779.8840457208134,1783.274477649749,1791.391613990724,1798.9597782383273,1808.361722918433,1815.3012870772034,1819.3889428143996,1820.1345577253367,1816.4630847221795,1810.6301120859375,1804.7943221166836,1801.2382273066266,1806.8106618302365,1818.8815640441712,1833.2521266643312,1844.2684985847598,1850.6861229687963,1858.1450032793914,1861.4285770863098,1861.1982845891441,1858.867679447769,1853.6339501248126,1847.6699423512202,1843.6528532182117,1846.406396706291,1853.2828302609983,1865.9214297736341,1877.9609481156199,1889.4593646461828,1897.932071975363,1903.7298405289662,1908.1076602575856,1903.3525347018635,1900.5455814067416,1901.1122139644087,1906.0273570257666,1910.7183756901811,1916.689150407858,1926.6004694328876,1938.0205024797704,1949.1169900255466,1958.4163817979727,1964.0472528549212,1965.5976125933232,1965.0041333996332,1958.8535686788655,1952.592750073314,1953.2601473348213,1962.2046750178938,1971.7010490963019,1981.2107105764478,1979.6699397196257,1976.8833645202283,1970.0238876204226,1968.4519599566709,1963.9136933041896,1949.8258520078316,1932.0792233283269,1911.427415571578,1900.726303325134,1902.1943709848156,1910.2725604896837,1920.8744276391028,1936.155162866875,1964.982285253561,2003.1764301970018,2042.1329738582278,2073.8599181745253,2093.3619660651,2103.4293761390622,2104.5572263047343,2105.233106559492,2107.2270460837617,2118.446817842543,2137.1945491328597,2160.996191443204,2186.9210262155416,2212.921945853546,2237.91639850739,2250.047773896569,2250.4030231946695,2234.3446991332894,2217.7242900067254,2205.202347143664,2207.4868672253792,2219.352599373044,2242.0303183749047,2257.8850541670263,2276.6615384183756,2288.589529992699,2305.182004796699,2315.573079692259,2319.0874504110266,2316.4674312067677,2311.215572991651,2305.86550157693,2311.0303691072545,2325.642196620377,2348.384260554691,2367.993610850226,2386.0907158242358,2405.272496856207,2422.1550647734393,2430.870405886778,2430.35221434379
394974,7,"Philadelphia, PA",msa,PA,1243.0248836807973,1249.7670367136657,1262.2000124469798,1268.9039042215034,1274.6350957843736,1277.4187018685755,1279.6011654811555,1280.56440854999,1280.3571340589199,1279.7239759971424,1275.6462301848985,1271.6116302473185,1272.4743055515507,1280.9877035933341,1290.6527483072068,1299.865217552522,1306.067050767479,1313.1456166513358,1314.4890675075226,1314.3939325484102,1311.5739123115982,1309.3578045585703,1311.3647194834252,1310.689417966053,1315.4930867506166,1321.2062251491159,1333.5800987307643,1342.1989806471233,1348.2348408747569,1349.1899587643659,1350.090077903264,1350.2914420497061,1349.6719565256842,1348.5615202265828,1346.8857162661125,1349.4340524558738,1353.3752429534156,1361.5358651233635,1372.6726279136603,1382.3787964076485,1391.241883349589,1395.015287515737,1395.7101015896699,1394.6835877811568,1393.2589478694108,1395.3061514321867,1398.7932230980007,1398.662974422675,1402.9143581514095,1409.5886355284397,1423.8850201755092,1434.7681237154022,1441.9565418963193,1449.435547959499,1453.0510180096187,1453.0331011734008,1448.950432599569,1447.8485689924896,1448.0394110340535,1451.4278641991002,1454.551072811637,1465.396803279691,1475.7363361821795,1479.9986671597478,1479.7681520880585,1479.9917853830152,1485.6774302009542,1485.9596171308044,1485.5034078872675,1484.68088701153,1487.0232860539872,1490.4046442460303,1494.7375183215581,1500.8637839918351,1509.1463907837613,1524.8046147552286,1546.78026578197,1568.271910566209,1588.2847666067737,1605.8653147024427,1614.448935773392,1624.2003732859528,1632.1897329346932,1649.7775524431302,1660.053415227131,1671.712772695174,1681.7818762411237,1696.2369236490813,1710.790782495747,1726.4520223628483,1739.5069795572294,1746.108604134636,1747.1004945676086,1742.6739550821303,1740.6564920200285,1736.9661005184776,1740.5274564603062,1742.7795652405187,1754.2093051459567,1763.242746526464,1774.3289286264655,1779.771098015621,1788.2338859297643,1795.848036679828,1804.880812322392,1808.4339525431128,1809.9305569113108,1807.586248070845,1809.3796360001518,1816.662248857598,1825.850792816907,1834.1333270201615,1841.023162205434,1850.3518679570032,1859.8693426761881,1867.8006317893285,1872.5357928094127
394856,8,"Miami, FL",msa,FL,1515.6624317792885,1521.988865923812,1527.4995506026921,1534.502542957528,1543.4161485381576,1552.4423777740672,1561.9579928109856,1569.4458432422848,1580.8762458436177,1588.9063069405727,1598.7062407433707,1601.519787924795,1605.369654407407,1606.8988322412251,1610.60180967939,1611.189564133664,1610.650528555095,1610.009938883408,1612.7371121713022,1615.8453897043091,1621.179730012699,1624.335833575613,1628.3836464909846,1628.1804531671771,1633.0651583935971,1636.7132887857895,1644.4940015429097,1647.0869424309176,1649.4402390781854,1652.3839155717415,1657.9791444221628,1665.494731321662,1672.6382965289438,1678.0333754511546,1680.1032753808215,1681.0146756218837,1683.2144380519073,1686.0521960111757,1689.9459197804163,1694.0317229826378,1698.635425686507,1704.2109487041594,1710.5429359685447,1717.278429187236,1722.1516779500073,1728.5106433510355,1735.8520151346045,1741.602437141955,1741.5979163493669,1739.6688393301613,1740.7787096975117,1744.41710746968,1749.6630688437344,1754.0341442609824,1759.3934068061544,1764.1936377790269,1770.6124662197778,1779.5503706162624,1789.7323379798756,1797.051463384123,1799.848240768112,1803.2923188546256,1803.6441687149195,1797.2572725232906,1787.42939553932,1786.275108041825,1791.650790618982,1797.5748030644027,1803.0543122537188,1816.2672374159856,1835.0461335700902,1851.4408449237674,1867.18211363937,1890.59832163837,1919.4959885056967,1954.980233041873,1995.5559949922322,,,2183.3358053357206,2244.0109411290055,2289.9091536510136,2336.4697808233486,2384.4198834015497,2428.631955644605,2463.6227888067897,2502.2544716933126,2543.116200202412,2583.7397794810104,2611.168682376,2632.059459752669,2641.0978458288687,2650.1939389294157,2654.199881139183,2662.462306330553,2666.531257630426,2666.33747150623,2667.388056781965,2672.405055285759,2680.496165285776,2688.776122905073,2695.5282722387938,2701.7471751924504,2707.454954723729,2714.184943577033,2725.23885500437,2733.293944457387,2731.1168601797062,2729.478311037722,2734.564941843627,2745.5037429034805,2754.896589896337,2756.665435307635,2760.289387182166,2765.7779573901717,2772.520301397356,2780.5740693968187
394347,9,"Atlanta, GA",msa,GA,1042.988062999858,1048.5064934366198,1052.1765947561194,1062.550217054799,1070.550757598644,1082.2554793418074,1088.6081180540248,1092.0429321792308,1092.6980137417593,1093.0201979082697,1093.8736068020937,1097.3465283086862,1101.5605733195155,1109.0028932787216,1116.5187904383497,1124.1273388181896,1133.0947754113722,1142.1472794420965,1151.279791903712,1155.424680185349,1155.5946699567016,1155.5359687629548,1155.6900616838145,1158.032620421381,1162.4699140180553,1171.1143712462542,1182.9231017106936,1194.9888497657494,1207.233116048168,1217.8312433589379,1226.6677903977177,1230.6079910897076,1233.2360949465444,1230.6028302442473,1232.340443122013,1233.519590406242,1241.0343708319315,1249.2812969864658,1261.0424125988304,1273.0591317667045,1284.309520813163,1292.9079598007713,1298.8808755952398,1301.881186197892,1302.47911703659,1307.5094297096903,1312.7137395909865,1318.063554149549,1324.1006763131813,1331.8473941586249,1344.5640219210434,1355.3721096369077,1365.880364045231,1374.5109226836462,1379.66469173816,1384.3250381528972,1386.7740697066424,1386.4275343488978,1383.687597480893,1383.515579593567,1388.2846881077626,1396.9330235319603,1405.1039902459452,1407.936679089874,1410.9510453934995,1418.1283480951804,1433.3789654279328,1447.013966110181,1457.0601634058278,1464.0567285258842,1470.289086538784,1476.3879060576926,1488.1141638883253,1505.0373225603864,1524.3841620256867,1547.6215943992506,1576.909364773538,1617.2126367244166,1660.8592582733224,1704.8701641056637,1736.6357270057422,1756.8310870354103,1763.6795036662634,1767.3913521431637,1771.2231251601154,1778.6573246083972,1790.8125593297596,1804.0669918144108,1823.15034149996,1844.5562330110824,1868.926386246789,1881.5536164615157,1884.6275693207333,1875.585899656813,1866.321848105524,1862.2179674220213,1860.7991126480717,1866.7163013826275,1875.9717715557051,1883.856993726564,1889.1673396012688,1889.4533510733847,1893.6828623832123,1893.9268504789554,1892.248609230416,1882.8174173966902,1871.7764612391186,1864.5917584285282,1870.0648105379714,1881.5850104692822,1888.1184349510377,1892.8887255510126,1898.9766772581556,1906.682991419491,1912.1631943671805,1910.5969592812125,1914.2055882679513
