id,renters,year,burdened_renters,extreme_burdened_renters,burdened_renters_pct,extreme_burdened_renters_pct
1003,22641.0,2022,9925.0,6832.0,0.43836402985733847,0.30175345611942933
1015,12835.0,2022,4729.0,2299.0,0.36844565640825866,0.17911959485781068
1043,7752.0,2022,2747.0,1565.0,0.35436016511867907,0.20188338493292055
1049,7215.0,2022,1705.0,1175.0,0.2363132363132363,0.16285516285516285
1051,7934.0,2022,2031.0,882.0,0.2559868918578271,0.11116712881270481
1055,10684.0,2022,4046.0,2734.0,0.37869711718457505,0.2558966679146387
1069,14517.0,2022,5161.0,2773.0,0.35551422470207344,0.1910174278432183
1073,100789.0,2022,50671.0,28447.0,0.5027433549296054,0.2822431019258054
1077,11701.0,2022,3663.0,2045.0,0.31305016665242286,0.17477138706093495
1081,24281.0,2022,12372.0,7970.0,0.509534203698365,0.3282401878011614
1083,8251.0,2022,2102.0,1131.0,0.254756999151618,0.13707429402496668
1089,52737.0,2022,21465.0,10099.0,0.4070197394618579,0.19149743064641522
1095,10343.0,2022,3214.0,1414.0,0.31074156434303396,0.13671081891134101
1097,55507.0,2022,27164.0,15868.0,0.4893797178734214,0.2858738537481759
1101,34995.0,2022,14471.0,8517.0,0.41351621660237176,0.24337762537505359
1103,12345.0,2022,4637.0,2295.0,0.37561765897124344,0.1859052247873633
1115,7042.0,2022,2923.0,1719.0,0.41508094291394493,0.2441067878443624
1117,16671.0,2022,7887.0,3856.0,0.47309699478135686,0.23129986203587066
1121,11674.0,2022,3319.0,1973.0,0.28430700702415623,0.16900805208154873
1125,34055.0,2022,15602.0,7323.0,0.4581412421083541,0.21503450300983704
2020,38499.0,2022,17713.0,8852.0,0.46008987246421984,0.22992805007922285
2090,15099.0,2022,6251.0,2424.0,0.4140009272137228,0.16054043314126765
2170,9590.0,2022,4179.0,1873.0,0.43576642335766425,0.19530761209593325
4001,4341.0,2022,687.0,353.0,0.15825846579129232,0.08131766873992168
4003,14066.0,2022,4872.0,1872.0,0.346367126404095,0.133086876155268
4005,23522.0,2022,10202.0,5569.0,0.43372162231102795,0.2367570784797211
4013,600091.0,2022,294793.0,140964.0,0.4912471608472715,0.23490437283678642
4015,24096.0,2022,9608.0,5114.0,0.398738379814077,0.212234395750332
4017,11887.0,2022,3550.0,1760.0,0.2986455792041726,0.1480609068730546
4019,151368.0,2022,72821.0,38247.0,0.48108583055863857,0.25267559854130334
4021,29078.0,2022,12626.0,5715.0,0.43421143132264944,0.1965403397757755
4025,27193.0,2022,12606.0,6134.0,0.4635751847902034,0.22557275769499505
4027,24034.0,2022,11833.0,3471.0,0.4923441790796372,0.14442040442706167
5007,33330.0,2022,9224.0,3632.0,0.27674767476747675,0.10897089708970897
5031,16849.0,2022,8499.0,5070.0,0.5044216273962846,0.30090806576057927
5045,18532.0,2022,6415.0,3670.0,0.3461579969781999,0.19803582991582128
5051,12920.0,2022,5534.0,3524.0,0.428328173374613,0.27275541795665637
5069,8617.0,2022,4082.0,2648.0,0.47371474991296275,0.30729952419635603
5085,8497.0,2022,2610.0,1374.0,0.30716723549488056,0.16170413086971872
5119,75648.0,2022,31817.0,20445.0,0.4205927453468697,0.27026491116751267
5125,11567.0,2022,4615.0,1557.0,0.39897985648828566,0.13460707184231002
5131,20728.0,2022,7496.0,3684.0,0.36163643380934,0.1777306059436511
5143,45137.0,2022,19093.0,9434.0,0.42300108558388905,0.20900813080178124
5145,9784.0,2022,3567.0,1362.0,0.36457481602616515,0.1392068683565004
6001,268342.0,2022,129303.0,70425.0,0.4818589710146008,0.2624449396665449
6007,35231.0,2022,18550.0,10508.0,0.5265249354261872,0.29826005506514147
6013,129575.0,2022,66268.0,35193.0,0.5114258151649623,0.2716033185413853
6017,16271.0,2022,9017.0,4374.0,0.5541761416016225,0.2688218302501383
6019,147190.0,2022,75892.0,43955.0,0.5156056797336775,0.2986276241592499
6023,25240.0,2022,13119.0,6681.0,0.519770206022187,0.26469889064976226
6025,21007.0,2022,10088.0,5572.0,0.4802208787547008,0.2652449183605465
6029,110680.0,2022,58427.0,30918.0,0.5278912179255512,0.2793458619443441
6031,18673.0,2022,8927.0,5651.0,0.4780699405558828,0.3026294650029454
6033,7085.0,2022,4012.0,2287.0,0.5662667607621736,0.32279463655610446
6037,1863679.0,2022,995211.0,542667.0,0.5340034415798,0.2911805090898164
6039,14139.0,2022,7244.0,4229.0,0.5123417497701394,0.29910177523162884
6041,35916.0,2022,18656.0,9933.0,0.5194342354382447,0.2765619779485466
6045,13184.0,2022,6808.0,3520.0,0.5163834951456311,0.2669902912621359
6047,36461.0,2022,15980.0,8460.0,0.4382765146320726,0.23202874304050905
6053,64360.0,2022,30342.0,15823.0,0.47144188937228093,0.24585146053449347
6055,19440.0,2022,9552.0,4368.0,0.49135802469135803,0.22469135802469137
6057,10480.0,2022,4601.0,2935.0,0.4390267175572519,0.2800572519083969
6059,479673.0,2022,252359.0,138334.0,0.526106326601664,0.288392300588109
6061,41889.0,2022,24273.0,12082.0,0.579460001432357,0.28842894315930195
6065,241947.0,2022,128402.0,65194.0,0.530703005203619,0.2694557072416686
6067,236030.0,2022,124319.0,65294.0,0.5267084692623819,0.27663432614498157
6069,6097.0,2022,2745.0,853.0,0.4502214203706741,0.13990487124815484
6071,252131.0,2022,140917.0,77148.0,0.5589039031297223,0.3059837941387612
6073,533045.0,2022,287565.0,148386.0,0.5394760292283015,0.27837424607678524
6075,219977.0,2022,75391.0,37688.0,0.3427221936838851,0.17132700236842943
