date,zori_yoy,cpi_yoy
2015-01-01,,-0.002299309782054282
2015-02-01,,-0.0008703146293520536
2015-03-01,,-0.00022031284423873476
2015-04-01,,-0.0010403098939391064
2015-05-01,,0.0003503321824429584
2015-06-01,,0.001795718097550525
2015-07-01,,0.0022568611104094582
2015-08-01,,0.002413037985344868
2015-09-01,,8.842961634170088e-05
2015-10-01,,0.0012761656067050708
2015-11-01,,0.004363182169185187
2015-12-01,,0.006387247515364791
2016-01-01,0.04815949311736234,0.012375025026943876
2016-02-01,0.046647516167822145,0.008472775790126619
2016-03-01,0.044172827862320796,0.008916160965521946
2016-04-01,0.04281855984770222,0.011726257503534843
2016-05-01,0.04167749225352546,0.010784764621246223
2016-06-01,0.041613390481313184,0.010792865347959424
2016-07-01,0.040628893167995006,0.008683633430518256
2016-08-01,0.039400471526246594,0.010553158595656864
2016-09-01,0.037668013884414986,0.015486446201652182
2016-10-01,0.036024191448350784,0.01685924966243646
2016-11-01,0.03461722554867919,0.016843334719788938
2016-12-01,0.03354849375332858,0.020507989115119862
2017-01-01,0.034709482999910835,0.025103933482571117
2017-02-01,0.036741689334694794,0.028103616813294208
2017-03-01,0.04082371948878927,0.0244119623655914
2017-04-01,0.04209650700716705,0.02176223471915395
2017-05-01,0.042752323285076166,0.018563431667619756
2017-06-01,0.041684729972189194,0.01640565809959127
2017-07-01,0.04154902464368049,0.017251073506566073
2017-08-01,0.04101246342414311,0.0192812155729698
2017-09-01,0.04128341957960391,0.021805652303711787
2017-10-01,0.041351225652228596,0.02020757753132485
2017-11-01,0.042228970580152625,0.02172493864295566
2017-12-01,0.0436610297134179,0.021299307195522532
2018-01-01,0.0435657592514731,0.02151318868063945
2018-02-01,0.043153113413921584,0.02263468931091861
2018-03-01,0.041150464587477176,0.023309497646499366
2018-04-01,0.04077574931255512,0.024709963021052994
2018-05-01,0.039680537823344464,0.02781921607842497
2018-06-01,0.039802409186479926,0.028075506935940187
2018-07-01,0.04007104993424071,0.02854124785561929
2018-08-01,0.041216257943158974,0.026429238568742575
2018-09-01,0.04059405456670828,0.02332055105808828
2018-10-01,0.04112065908306617,0.02492032470218053
2018-11-01,0.041725590200716756,0.02147328577667773
2018-12-01,0.04255619538435318,0.020023809043401064
2019-01-01,0.042113774319556985,0.014875893578291333
2019-02-01,0.04087214473843237,0.015188615351321877
2019-03-01,0.04111687800980701,0.018831863513063984
2019-04-01,0.04117783492104832,0.020005834702090608
2019-05-01,0.04205803612012349,0.017959105553606136
2019-06-01,0.042149931647213146,0.01671194894390049
2019-07-01,0.04232965331482941,0.01826331335037068
2019-08-01,0.04217815740149877,0.017376412106666406
2019-09-01,0.04251650408180585,0.016844977040391562
2019-10-01,0.04213242753523683,0.017339736996186295
2019-11-01,0.04094772358686094,0.020922903948629168
2019-12-01,0.04022562928715856,0.023195274699624457
2020-01-01,0.04065628824224343,0.025122643638566533
2020-02-01,0.04189353004473362,0.023397376430508432
2020-03-01,0.04014295212901353,0.015231420852062971
2020-04-01,0.03319832817772683,0.0034987638745771488
2020-05-01,0.025327240335688783,0.002162196039107611
2020-06-01,0.01975839849768235,0.007017667595302868
2020-07-01,0.019061070758487064,0.010187566946310067
2020-08-01,0.017781246453539623,0.013005983533565635
2020-09-01,0.01610543610522197,0.01373084272511016
2020-10-01,0.015085869208201208,0.012031654060780772
2020-11-01,0.014938485009547975,0.01169540753609244
2020-12-01,0.015627211926484197,0.013049530216912242
2021-01-01,0.016747116129272932,0.013951009246599089
2021-02-01,0.018815351024837668,0.016729284154818336
2021-03-01,0.02342862700110171,0.026186325779585795
2021-04-01,0.03636682055775409,0.04148739292379555
2021-05-01,0.05470479032440689,0.049263625277508494
2021-06-01,0.07503352309677114,0.05315092372103147
2021-07-01,0.09286261685493935,0.0525757716479367
2021-08-01,0.11174958491275877,0.05175312107215291
2021-09-01,0.1297897972869062,0.05361010344257178
2021-10-01,0.1421692545690869,0.06219044069333601
2021-11-01,0.14977972138721873,0.06862530903236941
2021-12-01,0.1545180818197669,0.07176580599606885
2022-01-01,0.1564172510720212,0.0756976664457294
2022-02-01,0.15806083687298633,0.07948919315737357
2022-03-01,0.15707501156577441,0.08547431203050082
2022-04-01,0.155869834621575,0.08251859404990403
2022-05-01,0.15021273623251097,0.08532996587844366
2022-06-01,0.14234484380455337,0.08989743741317646
2022-07-01,0.13122537808526769,0.08449818746001725
2022-08-01,0.11739436384506652,0.08218806476800755
2022-09-01,0.10312012252017744,0.0819827154994579
2022-10-01,0.09087770981607868,0.07751940788759693
2022-11-01,0.08116455941681511,0.07119465995215202
2022-12-01,0.07345882109395796,0.06411498247913161
2023-01-01,0.06800530142289007,0.06362123304649603
2023-02-01,0.06240355689204735,0.059655226949232976
2023-03-01,0.059427406434073404,0.04935090226845151
2023-04-01,0.053166145361466244,0.04941059134795189
2023-05-01,0.047670545678066834,0.04120689595996696
2023-06-01,0.03948345890473837,0.030532617391422212
2023-07-01,0.034150355087715134,0.03271780511700917
2023-08-01,0.031151571708270875,0.03718721312697104
2023-09-01,0.030455989803142458,0.036940551594278226
2023-10-01,0.03140357907488989,0.032457874929078256
2023-11-01,0.032448896738625166,0.031394819319064515
2023-12-01,0.033150529477672164,0.03323159712461354
2024-01-01,0.03430291851141054,0.031059809026621865
2024-02-01,0.03534205415362135,0.031657429794798686
2024-03-01,0.0350064789775697,0.03475131237075124
2024-04-01,0.03500689508564858,0.03357731196705305
2024-05-01,0.03429687883456256,0.0325021014289717
2024-06-01,0.03510997872863908,0.02975628529981611
