date,name,total,total_ytd,multi_total,multi_total_ytd,rt,multi_rt,zori,lat,lng,pop_2023,total_pc,total_ytd_pc,multi_total_pc,multi_total_ytd_pc,rt_pc,multi_rt_pc,zori_yoy,state,region,running_total,zori_index,running_total_per_10k
2024-11-01,"Birmingham, AL",217.0,3486.0,21.0,573.0,3501.0,573.0,1342.8816172987326,33.5279,-86.7971,1184290.0,0.1832321475314323,2.943535789375913,0.0177321433094934,0.4838341960161785,2.956201606025551,0.4838341960161785,,AL,Southeast,573.0,133.84876670067928,4.8383419601617845
2024-12-01,"Birmingham, AL",255.0,3748.0,25.0,598.0,3756.0,598.0,1343.885932707014,33.5279,-86.7971,1184290.0,0.215318883043849,3.16476538685626,0.0211096944160636,0.5049438904322422,3.1715204890694,0.5049438904322422,,AL,Southeast,598.0,133.94886962639166,5.049438904322422
2024-01-01,"Cleveland, OH",238.0,238.0,34.0,34.0,238.0,34.0,1263.022086331012,41.4764,-81.6805,2063132.0,0.1153585907251693,0.1153585907251693,0.0164797986750241,0.0164797986750241,0.1153585907251693,0.0164797986750241,,OH,Midwest,34.0,132.7713329655646,0.16479798675024188
2024-02-01,"Cleveland, OH",268.0,507.0,55.0,89.0,506.0,89.0,1272.4895120821477,41.4764,-81.6805,2063132.0,0.129899589556073,0.2457428802422724,0.0266584978566567,0.0431382965316809,0.2452581802812423,0.0431382965316809,,OH,Midwest,89.0,133.76656713473287,0.4313829653168096
2024-03-01,"Cleveland, OH",268.0,757.0,34.0,110.0,774.0,123.0,1284.8379629708186,41.4764,-81.6805,2063132.0,0.129899589556073,0.3669178704998032,0.0164797986750241,0.0533169957133135,0.3751577698373153,0.0596180952067051,,OH,Midwest,123.0,135.06466025780037,0.5961809520670515
2024-04-01,"Cleveland, OH",354.0,1242.0,51.0,273.0,1128.0,174.0,1288.9600124459023,41.4764,-81.6805,2063132.0,0.1715837862046636,0.6019973515994129,0.0247196980125362,0.1323230893612236,0.5467415560419788,0.0843377932192414,,OH,Midwest,174.0,135.4979780986203,0.8433779321924142
2024-05-01,"Cleveland, OH",321.0,1536.0,68.0,322.0,1449.0,242.0,1298.702308704295,41.4764,-81.6805,2063132.0,0.1555886874906695,0.7444991401422691,0.0329595973500483,0.1560733874516996,0.7023302435326484,0.1172973905692898,,OH,Midwest,242.0,136.52210718897516,1.172973905692898
2024-06-01,"Cleveland, OH",331.0,1848.0,85.0,421.0,1780.0,327.0,1305.299640549008,41.4764,-81.6805,2063132.0,0.1604356871009707,0.8957255279836676,0.0411994966875604,0.2040586835936818,0.8627659306336192,0.1584968872568502,,OH,Midwest,327.0,137.21563151647385,1.5849688725685027
2024-07-01,"Cleveland, OH",344.0,2127.0,80.0,448.0,2124.0,407.0,1318.6678121681575,41.4764,-81.6805,2063132.0,0.1667367865943623,1.030956817111072,0.0387759968824098,0.2171455825414951,1.0295027172279816,0.1972728841392601,,OH,Midwest,407.0,138.62091966178482,1.9727288413926012
2024-08-01,"Cleveland, OH",264.0,2348.0,23.0,430.0,2388.0,430.0,1327.162582523081,41.4764,-81.6805,2063132.0,0.1279607897119525,1.138075508498729,0.0111480991036928,0.2084209832429529,1.1574635069399342,0.2084209832429529,,OH,Midwest,430.0,139.51390640799124,2.0842098324295293
2024-09-01,"Cleveland, OH",347.0,2705.0,93.0,523.0,2735.0,523.0,1332.2924391923964,41.4764,-81.6805,2063132.0,0.1681908864774527,1.311113394586483,0.0450770963758014,0.2534980796187544,1.3256543934173868,0.2534980796187544,,OH,Midwest,523.0,140.05316689700282,2.534980796187544
2024-10-01,"Cleveland, OH",401.0,3106.0,124.0,647.0,3136.0,647.0,1336.4931941661555,41.4764,-81.6805,2063132.0,0.1943646843730793,1.5054780789595623,0.0601027951677352,0.3136008747864896,1.520019077790466,0.3136008747864896,,OH,Midwest,647.0,140.49475841259374,3.1360087478648966
2024-11-01,"Cleveland, OH",289.0,3620.0,41.0,898.0,3425.0,688.0,1336.4589508133813,41.4764,-81.6805,2063132.0,0.1400782887377056,1.7546138589290456,0.019872698402235,0.4352605650050506,1.6600973665281715,0.3334735731887247,,OH,Midwest,688.0,140.49115868489125,3.334735731887247
2024-12-01,"Cleveland, OH",213.0,3833.0,56.0,954.0,3638.0,744.0,1344.4929830707013,41.4764,-81.6805,2063132.0,0.1032410916994162,1.8578549506284616,0.0271431978176868,0.4624037628227374,1.763338458227588,0.3606167710064116,,OH,Midwest,744.0,141.33571174808537,3.606167710064116
2020-01-01,"Columbus, OH",1204.0,1204.0,890.0,890.0,2704.0,1719.0,1069.5013862516346,39.9862,-82.9855,2180271.0,0.5522249298367038,0.5522249298367038,0.4082061358427462,0.4082061358427462,1.2402127992345904,0.7884340983299782,,OH,Midwest,890.0,100.0,4.082061358427461
2020-02-01,"Columbus, OH",809.0,2026.0,527.0,1427.0,3513.0,2246.0,1074.7977441809346,39.9862,-82.9855,2180271.0,0.3710547908952603,0.9292422822667458,0.2417130714484575,0.6545057930871897,1.6112675901298508,1.030147169778436,,OH,Midwest,1417.0,100.49521749082182,6.499192072912037
2020-03-01,"Columbus, OH",462.0,2122.0,97.0,1127.0,3975.0,2343.0,1080.6665963108003,39.9862,-82.9855,2180271.0,0.2119002637745491,0.9732735059082104,0.0444898822210633,0.5169082192076123,1.8231678539044,1.0746370519994992,,OH,Midwest,1514.0,101.04396405677389,6.94409089512267
2020-04-01,"Columbus, OH",748.0,2893.0,394.0,1533.0,4723.0,2737.0,1091.301939723202,39.9862,-82.9855,2180271.0,0.3430766175397462,1.3268992707787244,0.1807114803618449,0.7031236025246402,2.1662444714441462,1.255348532361344,,OH,Midwest,1908.0,102.03838477928238,8.751205698741119
2020-05-01,"Columbus, OH",969.0,3856.0,664.0,2171.0,5692.0,3401.0,1094.457464717866,39.9862,-82.9855,2180271.0,0.4444401636310349,1.7685874829321675,0.3045492968534645,0.9957477763085416,2.610684635075181,1.5598978292148085,,OH,Midwest,2572.0,102.33343114717195,11.796698667275766
2020-06-01,"Columbus, OH",1136.0,5236.0,727.0,3148.0,6828.0,4128.0,1099.4379434048574,39.9862,-82.9855,2180271.0,0.5210361464239995,2.401536322778224,0.3334447873681758,1.443857208576365,3.1317207814991805,1.8933426165829843,,OH,Midwest,3299.0,102.79911345025403,15.131146540957522
2020-07-01,"Columbus, OH",1034.0,6270.0,586.0,3734.0,7862.0,4714.0,1100.5341322897773,39.9862,-82.9855,2180271.0,0.4742529713049433,2.875789294083167,0.2687739276447745,1.7126311362211395,3.605973752804124,2.1621165442277586,,OH,Midwest,3885.0,102.90160877181333,17.818885817405267
2020-08-01,"Columbus, OH",824.0,7093.0,303.0,4031.0,8686.0,5017.0,1108.56817033315,39.9862,-82.9855,2180271.0,0.3779346695892391,3.2532653050928078,0.1389735496183731,1.8488527343619208,3.983908422393363,2.301090093846132,,OH,Midwest,4188.0,103.65280350111894,19.208621313589
2020-09-01,"Columbus, OH",1033.0,8113.0,452.0,4475.0,9719.0,5469.0,1114.4990247472883,39.9862,-82.9855,2180271.0,0.4737943127253446,3.7210970562833694,0.2073136779785632,2.0524971437036954,4.457702735118708,2.508403771824695,,OH,Midwest,4640.0,104.20734737458926,21.281758093374627
2020-10-01,"Columbus, OH",1726.0,9839.0,1184.0,5659.0,11445.0,6653.0,1118.6404026454975,39.9862,-82.9855,2180271.0,0.7916447083871684,4.512741764670539,0.543051758244732,2.5955489019484275,5.249347443505876,3.051455530069427,,OH,Midwest,5824.0,104.5945724826112,26.712275675821953
2020-11-01,"Columbus, OH",867.0,10987.0,441.0,6387.0,11414.0,6514.0,1125.4264309599782,39.9862,-82.9855,2180271.0,0.3976569885119785,5.039281814049722,0.2022684336029787,2.9294523478962016,5.23512902753832,2.9877019875052238,0.0540064801300037,OH,Midwest,6265.0,105.22907641142463,28.734960011851737
2020-12-01,"Columbus, OH",1052.0,12052.0,596.0,6991.0,11864.0,6861.0,1128.686091073407,39.9862,-82.9855,2180271.0,0.4825088257377179,5.527753201322221,0.2733605134407603,3.206482129973751,5.441525388357685,3.1468565146259344,0.0549442115937168,OH,Midwest,6861.0,105.53385957069226,31.468565146259344
