date,metric,yoy_change
2015-01-01,Rent,
2015-02-01,Rent,
2015-03-01,Rent,
2015-04-01,Rent,
2015-05-01,Rent,
2015-06-01,Rent,
2015-07-01,Rent,
2015-08-01,Rent,
2015-09-01,Rent,
2015-10-01,Rent,
2015-11-01,Rent,
2015-12-01,Rent,
2016-01-01,Rent,0.048308503339013154
2016-02-01,Rent,0.04676202547489594
2016-03-01,Rent,0.04421941523963824
2016-04-01,Rent,0.04299904121738152
2016-05-01,Rent,0.041887656289989916
2016-06-01,Rent,0.04189937475932415
2016-07-01,Rent,0.0407833024737041
2016-08-01,Rent,0.039536957040030796
2016-09-01,Rent,0.03776758321247886
2016-10-01,Rent,0.03621714661313691
2016-11-01,Rent,0.03489086767709626
2016-12-01,Rent,0.03385709628413114
2017-01-01,Rent,0.03500006823803825
2017-02-01,Rent,0.0370204062456152
2017-03-01,Rent,0.04110853294813377
2017-04-01,Rent,0.04231287557026531
2017-05-01,Rent,0.04289896257081072
2017-06-01,Rent,0.041793423215153336
2017-07-01,Rent,0.0417304933172018
2017-08-01,Rent,0.04124616153411398
2017-09-01,Rent,0.041511885434721174
2017-10-01,Rent,0.041501198789466454
2017-11-01,Rent,0.04230440488346798
2017-12-01,Rent,0.043679350659734384
2018-01-01,Rent,0.04364192023874436
2018-02-01,Rent,0.04324367915539562
2018-03-01,Rent,0.041284633887325395
2018-04-01,Rent,0.04091744197016922
2018-05-01,Rent,0.039823189758983135
2018-06-01,Rent,0.03992677748031048
2018-07-01,Rent,0.04017156285456869
2018-08-01,Rent,0.04133194241873084
2018-09-01,Rent,0.04072148041840529
2018-10-01,Rent,0.04132555925540182
2018-11-01,Rent,0.0418882285294222
2018-12-01,Rent,0.04273850288922221
2019-01-01,Rent,0.04218485223117874
2019-02-01,Rent,0.040939000774217194
2019-03-01,Rent,0.04116176214614242
2019-04-01,Rent,0.0412338680378761
2019-05-01,Rent,0.04220679686810924
2019-06-01,Rent,0.04233722511984417
2019-07-01,Rent,0.042500161749977616
2019-08-01,Rent,0.04226815693157304
2019-09-01,Rent,0.04255483430695084
2019-10-01,Rent,0.04217632875319177
