name,date,zori,lat,lng,pop_2023
"San Diego, CA",2015-03-01,1689.9297023963954,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-03-01,1074.3239093729348,27.9945,-82.4447,3342963.0
"Denver, CO",2015-03-01,1263.25729172917,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-03-01,1304.5925700525804,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-03-01,871.6662483238425,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-03-01,1131.8353964710134,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-03-01,1027.549458199666,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-03-01,1025.142587279458,29.4632,-98.5238,2703999.0
"Portland, OR",2015-03-01,1146.509335366576,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-03-01,1259.0173631826576,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-03-01,983.6107617326454,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-03-01,880.1849158852481,39.1413,-84.506,2271479.0
"Austin, TX",2015-03-01,1192.972424775104,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-03-01,989.3855834850684,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-03-01,884.7702104996619,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-03-01,875.4402347734159,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-03-01,916.5144520901453,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-03-01,841.6767516016415,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-03-01,2451.752954751231,37.3012,-121.848,1945767.0
"Nashville, TN",2015-03-01,1156.290884804809,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-03-01,1083.723439137799,36.7335,-76.0435,1787169.0
"Providence, RI",2015-03-01,1060.4920144245186,41.823,-71.4187,1677803.0
"Jacksonville, FL",2015-03-01,1014.3011127326916,30.3322,-81.6749,1713240.0
"Milwaukee, WI",2015-03-01,942.5954627672604,43.0642,-87.9675,1560424.0
"Oklahoma City, OK",2015-03-01,919.8079973064904,35.4676,-97.5136,1477926.0
"Raleigh, NC",2015-03-01,1092.6909076903476,35.8324,-78.6429,1509231.0
"Memphis, TN",2015-03-01,883.5373481163018,35.1087,-89.9663,1335674.0
"Richmond, VA",2015-03-01,976.1093529580528,37.5295,-77.4756,1349732.0
"Louisville, KY",2015-03-01,842.7138350987151,38.1663,-85.6485,1365557.0
"Salt Lake City, UT",2015-03-01,974.6518585144106,40.7776,-111.9311,1267864.0
"Hartford, CT",2015-03-01,1122.0343693389418,41.7661,-72.6834,1151543.0
"Buffalo, NY",2015-03-01,779.1574645779455,42.9018,-78.8487,1155604.0
"Birmingham, AL",2015-03-01,905.260775109112,33.5279,-86.7971,1184290.0
"Grand Rapids, MI",2015-03-01,839.7521720154397,42.9619,-85.6562,1162950.0
"New York, NY",2015-04-01,2265.8022623420275,40.6943,-73.9249,19498249.0
"Los Angeles, CA",2015-04-01,1838.6561546839223,34.1141,-118.4068,12799100.0
"Chicago, IL",2015-04-01,1416.6700542391632,41.8375,-87.6866,9262825.0
"Dallas, TX",2015-04-01,1108.3364538805415,32.7935,-96.7667,8100037.0
"Houston, TX",2015-04-01,1227.7704545955671,29.786,-95.3885,7510253.0
"Washington, DC",2015-04-01,1708.6084423219693,38.9047,-77.0163,6304975.0
"Philadelphia, PA",2015-04-01,1249.097511695844,40.0077,-75.1339,6246160.0
"Miami, FL",2015-04-01,1481.5232956566576,25.784,-80.2101,6183199.0
"Atlanta, GA",2015-04-01,1036.1049787626464,33.7628,-84.422,6307261.0
"Boston, MA",2015-04-01,2089.0130632672513,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-04-01,956.591054657956,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-04-01,2296.2374855708213,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-04-01,1339.0054520861945,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-04-01,868.5486166958715,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-04-01,1389.3551429679353,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-04-01,1143.096392008229,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-04-01,1699.2315385467866,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-04-01,1078.6252130364626,27.9945,-82.4447,3342963.0
"Denver, CO",2015-04-01,1281.715407921583,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-04-01,1309.4071496865206,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-04-01,874.9998992630227,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-04-01,1139.526024035585,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-04-01,1033.434990221616,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-04-01,1030.9871301366013,29.4632,-98.5238,2703999.0
"Portland, OR",2015-04-01,1164.5341767793057,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-04-01,1269.3259264699334,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-04-01,987.2470673750544,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-04-01,886.6431099420774,39.1413,-84.506,2271479.0
"Austin, TX",2015-04-01,1200.2297874849526,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-04-01,995.7301029253736,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-04-01,893.1730415299515,39.1238,-94.5541,2221343.0
"Columbus, OH",2015-04-01,875.9524670240545,39.9862,-82.9855,2180271.0
"Indianapolis, IN",2015-04-01,923.223633084466,39.7771,-86.1458,2138468.0
"Cleveland, OH",2015-04-01,846.1923130830446,41.4764,-81.6805,2063132.0
"San Jose, CA",2015-04-01,2473.31553708757,37.3012,-121.848,1945767.0
"Nashville, TN",2015-04-01,1171.1763047205354,36.1715,-86.7842,2102573.0
"Virginia Beach, VA",2015-04-01,1087.600538068398,36.7335,-76.0435,1787169.0
"Providence, RI",2015-04-01,1080.0600570253148,41.823,-71.4187,1677803.0
"Jacksonville, FL",2015-04-01,1019.163548246065,30.3322,-81.6749,1713240.0
"Milwaukee, WI",2015-04-01,949.9042784753018,43.0642,-87.9675,1560424.0
"Oklahoma City, OK",2015-04-01,926.849966012202,35.4676,-97.5136,1477926.0
"Raleigh, NC",2015-04-01,1100.1398322821028,35.8324,-78.6429,1509231.0
"Memphis, TN",2015-04-01,884.8461003052026,35.1087,-89.9663,1335674.0
"Richmond, VA",2015-04-01,981.9640066872532,37.5295,-77.4756,1349732.0
"Louisville, KY",2015-04-01,848.0330691829438,38.1663,-85.6485,1365557.0
