name,date,zori,lat,lng,pop_2023,state,region,zori_index
"Birmingham, AL",2015-02-01,886.9412191588584,33.5279,-86.7971,1184290.0,AL,Southeast,86.96538608626938
"Grand Rapids, MI",2015-02-01,871.1388516419504,42.9619,-85.6562,1162950.0,MI,Midwest,73.37953695050128
"New York, NY",2015-03-01,2269.988689083196,40.6943,-73.9249,19498249.0,NY,Northest,88.80426423874475
"Los Angeles, CA",2015-03-01,1826.6765534053848,34.1141,-118.4068,12799100.0,CA,West,78.2275090543918
"Chicago, IL",2015-03-01,1363.5760738840252,41.8375,-87.6866,9262825.0,IL,Midwest,88.67132949253507
"Dallas, TX",2015-03-01,1095.9243872797958,32.7935,-96.7667,8100037.0,TX,Southwest,81.52776501659174
"Houston, TX",2015-03-01,1233.129495642177,29.786,-95.3885,7510253.0,TX,Southwest,90.16743035743772
"Washington, DC",2015-03-01,1718.5546114992478,38.9047,-77.0163,6304975.0,DC,Northest,89.47771865372248
"Philadelphia, PA",2015-03-01,1233.2622239216212,40.0077,-75.1339,6246160.0,PA,Northest,85.97579173849691
"Miami, FL",2015-03-01,1497.1611198942217,25.784,-80.2101,6183199.0,FL,Southeast,84.7055372411451
"Atlanta, GA",2015-03-01,1041.0364988808356,33.7628,-84.422,6307261.0,GA,Southeast,75.8013660456046
"Boston, MA",2015-03-01,1983.9647843621308,42.3188,-71.0852,4919179.0,MA,Northest,85.09512300839808
"Phoenix, AZ",2015-03-01,951.339986859675,33.5722,-112.0892,5070110.0,AZ,Southwest,72.97941489469379
"San Francisco, CA",2015-03-01,2275.687595788949,37.7558,-122.4449,4566961.0,CA,West,80.75113123456161
"Riverside, CA",2015-03-01,1341.6236760225104,33.9381,-117.3949,4688053.0,CA,West,76.79542750469538
"Detroit, MI",2015-03-01,869.5407415201641,42.3834,-83.1024,4342304.0,MI,Midwest,81.88787744609937
"Seattle, WA",2015-03-01,1365.513153612119,47.6211,-122.3244,4044837.0,WA,West,76.3045329758161
"Minneapolis, MN",2015-03-01,1151.503344816465,44.9635,-93.2678,3712020.0,MN,Midwest,81.2715141870861
"San Diego, CA",2015-03-01,1689.6231188723298,32.8313,-117.1222,3269973.0,CA,West,78.6176757736453
"Tampa, FL",2015-03-01,1059.150161328453,27.9945,-82.4447,3342963.0,FL,Southeast,78.68049337314301
"Denver, CO",2015-03-01,1273.7568128807068,39.762,-104.8758,3005131.0,CO,West,80.65640822283362
"Baltimore, MD",2015-03-01,1333.3327658032756,39.3051,-76.6144,2834316.0,MD,Northest,91.8567594417403
"St. Louis, MO",2015-03-01,868.6808842934869,38.6359,-90.2451,2796999.0,MO,Midwest,87.58530503755692
"Orlando, FL",2015-03-01,1134.3003060959848,28.4773,-81.337,2817933.0,FL,Southeast,78.12182074265873
"Charlotte, NC",2015-03-01,1032.348176930688,35.2083,-80.8303,2805115.0,NC,Southeast,79.29019037070364
"San Antonio, TX",2015-03-01,1027.3232583773674,29.4632,-98.5238,2703999.0,TX,Southwest,85.83053249942859
"Portland, OR",2015-03-01,1153.6669857157426,45.5371,-122.65,2508050.0,OR,West,78.33421524733328
"Sacramento, CA",2015-03-01,1252.6501026039257,38.5677,-121.4685,2420608.0,CA,West,72.68773033634093
"Pittsburgh, PA",2015-03-01,989.0985380474368,40.4397,-79.9763,2422725.0,PA,Northest,87.35786000980723
"Cincinnati, OH",2015-03-01,871.3221440826559,39.1413,-84.506,2271479.0,OH,Midwest,80.18007837738406
"Austin, TX",2015-03-01,1205.6515938816358,30.3005,-97.7522,2473275.0,TX,Southwest,84.62540821796811
"Las Vegas, NV",2015-03-01,998.1882204354448,36.2333,-115.2654,2336573.0,NV,West,76.9590369696611
"Kansas City, MO",2015-03-01,864.0496919480737,39.1238,-94.5541,2221343.0,MO,Midwest,83.2405811937734
"Columbus, OH",2015-03-01,878.3465113004086,39.9862,-82.9855,2180271.0,OH,Midwest,80.48275126596441
"Indianapolis, IN",2015-03-01,913.2813910793252,39.7771,-86.1458,2138468.0,IN,Midwest,85.5263578129108
"Cleveland, OH",2015-03-01,830.1632728249231,41.4764,-81.6805,2063132.0,OH,Midwest,86.24395176714972
"San Jose, CA",2015-03-01,2477.190211085405,37.3012,-121.848,1945767.0,CA,West,83.6712810630642
"Nashville, TN",2015-03-01,1165.2488696523728,36.1715,-86.7842,2102573.0,TN,Southeast,81.67001302248521
"Virginia Beach, VA",2015-03-01,1101.4383273802166,36.7335,-76.0435,1787169.0,VA,Southeast,88.91423650140567
"Providence, RI",2015-03-01,1104.8796907128865,41.823,-71.4187,1677803.0,RI,Northest,79.45599640706959
"Jacksonville, FL",2015-03-01,1002.7326858302268,30.3322,-81.6749,1713240.0,FL,Southeast,81.94557853487008
"Milwaukee, WI",2015-03-01,890.6180742260068,43.0642,-87.9675,1560424.0,WI,Midwest,87.29109673503291
"Oklahoma City, OK",2015-03-01,929.2091597012704,35.4676,-97.5136,1477926.0,OK,Southwest,90.1694920876409
"Raleigh, NC",2015-03-01,1105.7056045532215,35.8324,-78.6429,1509231.0,NC,Southeast,83.6575455020283
"Memphis, TN",2015-03-01,907.6862579061624,35.1087,-89.9663,1335674.0,TN,Southeast,88.4581527492219
"Richmond, VA",2015-03-01,982.8532573694276,37.5295,-77.4756,1349732.0,VA,Southeast,83.27713328585584
"Louisville, KY",2015-03-01,846.6549392389614,38.1663,-85.6485,1365557.0,KY,Southeast,84.50129156558849
"Salt Lake City, UT",2015-03-01,963.4602250486704,40.7776,-111.9311,1267864.0,UT,West,78.51734674495525
"Hartford, CT",2015-03-01,1143.4101816286982,41.7661,-72.6834,1151543.0,CT,Northest,88.65598155185889
"Buffalo, NY",2015-03-01,786.3800047581846,42.9018,-78.8487,1155604.0,NY,Northest,82.66388478449007
"Birmingham, AL",2015-03-01,892.6349437740358,33.5279,-86.7971,1184290.0,AL,Southeast,87.52366091748918
"Grand Rapids, MI",2015-03-01,876.05363074079,42.9619,-85.6562,1162950.0,MI,Midwest,73.7935286049971
"New York, NY",2015-04-01,2287.895855322327,40.6943,-73.9249,19498249.0,NY,Northest,89.50481077896086
"Los Angeles, CA",2015-04-01,1842.43763716292,34.1141,-118.4068,12799100.0,CA,West,78.90247820536223
"Chicago, IL",2015-04-01,1372.960915438954,41.8375,-87.6866,9262825.0,IL,Midwest,89.28161181831832
"Dallas, TX",2015-04-01,1103.4555315917094,32.7935,-96.7667,8100037.0,TX,Southwest,82.08802024121698
"Houston, TX",2015-04-01,1239.800912023098,29.786,-95.3885,7510253.0,TX,Southwest,90.65524974221279
"Washington, DC",2015-04-01,1729.9535156374018,38.9047,-77.0163,6304975.0,DC,Northest,90.07121037671443
"Philadelphia, PA",2015-04-01,1245.797325865237,40.0077,-75.1339,6246160.0,PA,Northest,86.8496653504674
"Miami, FL",2015-04-01,1502.3400742745782,25.784,-80.2101,6183199.0,FL,Southeast,84.99854920045009
"Atlanta, GA",2015-04-01,1044.5285445849847,33.7628,-84.422,6307261.0,GA,Southeast,76.05563362887642
"Boston, MA",2015-04-01,2008.830404814695,42.3188,-71.0852,4919179.0,MA,Northest,86.16164548287405
