RegionID,SizeRank,name,RegionType,StateName,date,zori,lat,lng,rank
395209,6,"Washington, DC",msa,VA,2015-02-28,1728.6185376693754,38.9047,-77.0163,6.0
394974,7,"Philadelphia, PA",msa,PA,2015-02-28,1242.6270341300765,40.0077,-75.1339,15.0
394856,8,"Miami, FL",msa,FL,2015-02-28,1508.7012348254975,25.784,-80.2101,8.0
394347,9,"Atlanta, GA",msa,GA,2015-02-28,1043.6414900906543,33.7628,-84.422,30.0
394404,10,"Boston, MA",msa,MA,2015-02-28,1971.9380756636724,42.3188,-71.0852,4.0
394976,11,"Phoenix, AZ",msa,AZ,2015-02-28,958.5014252558012,33.5722,-112.0892,37.0
395057,12,"San Francisco, CA",msa,CA,2015-02-28,2302.627940806763,37.7558,-122.4449,3.0
395025,13,"Riverside, CA",msa,CA,2015-02-28,1346.0954788394656,33.9381,-117.3949,12.0
394532,14,"Detroit, MI",msa,MI,2015-02-28,878.8015499692294,42.3834,-83.1024,44.0
395078,15,"Seattle, WA",msa,WA,2015-02-28,1375.8307208453843,47.6211,-122.3244,10.0
394865,16,"Minneapolis, MN",msa,MN,2015-02-28,1152.781302356682,44.9635,-93.2678,22.0
395056,17,"San Diego, CA",msa,CA,2015-02-28,1688.849255453044,32.8313,-117.1222,7.0
395148,18,"Tampa, FL",msa,FL,2015-02-28,1066.3854785524677,27.9945,-82.4447,28.0
394530,19,"Denver, CO",msa,CO,2015-02-28,1279.4430488213015,39.762,-104.8758,13.0
394358,20,"Baltimore, MD",msa,MD,2015-02-28,1351.138774441568,39.3051,-76.6144,11.0
395121,21,"St. Louis, MO",msa,MO,2015-02-28,878.4527469337905,38.6359,-90.2451,45.0
394943,22,"Orlando, FL",msa,FL,2015-02-28,1152.8399520072628,28.4773,-81.337,21.0
394458,23,"Charlotte, NC",msa,NC,2015-02-28,1045.9337225849945,35.2083,-80.8303,29.0
395055,24,"San Antonio, TX",msa,TX,2015-02-28,1036.4965646272676,29.4632,-98.5238,31.0
394998,25,"Portland, OR",msa,OR,2015-02-28,1160.5889279580824,45.5371,-122.65,19.0
395045,26,"Sacramento, CA",msa,CA,2015-02-28,1265.2885366393598,38.5677,-121.4685,14.0
394982,27,"Pittsburgh, PA",msa,PA,2015-02-28,974.985009565439,40.4397,-79.9763,35.0
394466,28,"Cincinnati, OH",msa,OH,2015-02-28,881.0234019071571,39.1413,-84.506,43.0
394355,29,"Austin, TX",msa,TX,2015-02-28,1205.769618718781,30.3005,-97.7522,17.0
394775,30,"Las Vegas, NV",msa,NV,2015-02-28,1002.0929073827884,36.2333,-115.2654,33.0
394735,31,"Kansas City, MO",msa,MO,2015-02-28,872.3588613675621,39.1238,-94.5541,46.0
394492,32,"Columbus, OH",msa,OH,2015-02-28,927.1157398124716,39.9862,-82.9855,39.0
394705,34,"Indianapolis, IN",msa,IN,2015-02-28,929.0319963529596,39.7771,-86.1458,38.0
394475,35,"Cleveland, OH",msa,OH,2015-02-28,851.6117558575022,41.4764,-81.6805,47.0
395059,36,"San Jose, CA",msa,CA,2015-02-28,2507.5382647502443,37.3012,-121.848,1.0
394902,37,"Nashville, TN",msa,TN,2015-02-28,1171.9986939736852,36.1715,-86.7842,18.0
395194,38,"Virginia Beach, VA",msa,VA,2015-02-28,1105.8264139629557,36.7335,-76.0435,27.0
395005,39,"Providence, RI",msa,RI,2015-02-28,1125.951530906001,41.823,-71.4187,23.0
394714,40,"Jacksonville, FL",msa,FL,2015-02-28,1007.3253899492302,30.3322,-81.6749,32.0
394862,41,"Milwaukee, WI",msa,WI,2015-02-28,894.6287583778775,43.0642,-87.9675,42.0
394935,42,"Oklahoma City, OK",msa,OK,2015-02-28,926.1889695298656,35.4676,-97.5136,40.0
395012,43,"Raleigh, NC",msa,NC,2015-02-28,1114.419292042115,35.8324,-78.6429,25.0
394849,44,"Memphis, TN",msa,TN,2015-02-28,918.3407138510844,35.1087,-89.9663,41.0
395022,45,"Richmond, VA",msa,VA,2015-02-28,986.6360591251882,37.5295,-77.4756,34.0
394807,46,"Louisville, KY",msa,KY,2015-02-28,841.2432240467315,38.1663,-85.6485,48.0
394910,47,"New Orleans, LA",msa,LA,2015-02-28,1123.1661128081562,30.0687,-89.9288,24.0
395053,48,"Salt Lake City, UT",msa,UT,2015-02-28,969.7233349045666,40.7776,-111.9311,36.0
394669,49,"Hartford, CT",msa,CT,2015-02-28,1159.6099140016497,41.7661,-72.6834,20.0
394425,50,"Buffalo, NY",msa,NY,2015-02-28,794.3546842111641,42.9018,-78.8487,49.0
394913,1,"New York, NY",msa,NY,2015-03-31,2342.172814838276,40.6943,-73.9249,2.0
753899,2,"Los Angeles, CA",msa,CA,2015-03-31,1852.9959578079247,34.1141,-118.4068,5.0
394463,3,"Chicago, IL",msa,IL,2015-03-31,1393.2158373342534,41.8375,-87.6866,9.0
394514,4,"Dallas, TX",msa,TX,2015-03-31,1115.085597797554,32.7935,-96.7667,26.0
394692,5,"Houston, TX",msa,TX,2015-03-31,1244.2579599735486,29.786,-95.3885,16.0
395209,6,"Washington, DC",msa,VA,2015-03-31,1739.7956981244422,38.9047,-77.0163,6.0
394974,7,"Philadelphia, PA",msa,PA,2015-03-31,1254.7817538516338,40.0077,-75.1339,15.0
394856,8,"Miami, FL",msa,FL,2015-03-31,1514.1169124926737,25.784,-80.2101,8.0
394347,9,"Atlanta, GA",msa,GA,2015-03-31,1047.27058943844,33.7628,-84.422,30.0
394404,10,"Boston, MA",msa,MA,2015-03-31,1996.4884604882373,42.3188,-71.0852,4.0
394976,11,"Phoenix, AZ",msa,AZ,2015-03-31,966.3561673790356,33.5722,-112.0892,37.0
395057,12,"San Francisco, CA",msa,CA,2015-03-31,2335.6354562296915,37.7558,-122.4449,3.0
395025,13,"Riverside, CA",msa,CA,2015-03-31,1350.8303142855457,33.9381,-117.3949,12.0
394532,14,"Detroit, MI",msa,MI,2015-03-31,885.0951894636761,42.3834,-83.1024,44.0
395078,15,"Seattle, WA",msa,WA,2015-03-31,1391.013430312226,47.6211,-122.3244,10.0
394865,16,"Minneapolis, MN",msa,MN,2015-03-31,1161.6840544003587,44.9635,-93.2678,21.0
395056,17,"San Diego, CA",msa,CA,2015-03-31,1698.2042327115248,32.8313,-117.1222,7.0
395148,18,"Tampa, FL",msa,FL,2015-03-31,1070.4574103022603,27.9945,-82.4447,28.0
394530,19,"Denver, CO",msa,CO,2015-03-31,1297.87140609291,39.762,-104.8758,13.0
394358,20,"Baltimore, MD",msa,MD,2015-03-31,1355.9662146887267,39.3051,-76.6144,11.0
395121,21,"St. Louis, MO",msa,MO,2015-03-31,881.3972308814311,38.6359,-90.2451,45.0
394943,22,"Orlando, FL",msa,FL,2015-03-31,1160.4869731530614,28.4773,-81.337,22.0
394458,23,"Charlotte, NC",msa,NC,2015-03-31,1051.8413432813304,35.2083,-80.8303,29.0
395055,24,"San Antonio, TX",msa,TX,2015-03-31,1042.41992002584,29.4632,-98.5238,31.0
394998,25,"Portland, OR",msa,OR,2015-03-31,1178.3667635520037,45.5371,-122.65,19.0
395045,26,"Sacramento, CA",msa,CA,2015-03-31,1274.735446574501,38.5677,-121.4685,14.0
394982,27,"Pittsburgh, PA",msa,PA,2015-03-31,979.4822740539925,40.4397,-79.9763,35.0
394466,28,"Cincinnati, OH",msa,OH,2015-03-31,887.4207294696537,39.1413,-84.506,43.0
394355,29,"Austin, TX",msa,TX,2015-03-31,1212.8006970638469,30.3005,-97.7522,17.0
394775,30,"Las Vegas, NV",msa,NV,2015-03-31,1008.3096426323028,36.2333,-115.2654,33.0
394735,31,"Kansas City, MO",msa,MO,2015-03-31,880.7849437372568,39.1238,-94.5541,46.0
394492,32,"Columbus, OH",msa,OH,2015-03-31,927.8467997541784,39.9862,-82.9855,40.0
394705,34,"Indianapolis, IN",msa,IN,2015-03-31,935.517923991715,39.7771,-86.1458,38.0
394475,35,"Cleveland, OH",msa,OH,2015-03-31,856.1693355115223,41.4764,-81.6805,47.0
395059,36,"San Jose, CA",msa,CA,2015-03-31,2525.739120840426,37.3012,-121.848,1.0
394902,37,"Nashville, TN",msa,TN,2015-03-31,1187.1049621079944,36.1715,-86.7842,18.0
395194,38,"Virginia Beach, VA",msa,VA,2015-03-31,1109.704307521407,36.7335,-76.0435,27.0
395005,39,"Providence, RI",msa,RI,2015-03-31,1146.6157528270924,41.823,-71.4187,23.0
394714,40,"Jacksonville, FL",msa,FL,2015-03-31,1012.1992884233846,30.3322,-81.6749,32.0
394862,41,"Milwaukee, WI",msa,WI,2015-03-31,901.9387904581316,43.0642,-87.9675,42.0
394935,42,"Oklahoma City, OK",msa,OK,2015-03-31,933.1344908364284,35.4676,-97.5136,39.0
395012,43,"Raleigh, NC",msa,NC,2015-03-31,1122.2220543771289,35.8324,-78.6429,25.0
