id,renters,year,burdened_renters,extreme_burdened_renters,burdened_renters_pct,extreme_burdened_renters_pct
1003,26564.0,2023,11051.0,3933.0,0.416014154494805,0.1480575214576118
1015,14476.0,2023,5516.0,2916.0,0.38104448742746616,0.2014368610113291
1043,7529.0,2023,2935.0,1136.0,0.38982600610970913,0.15088325142781245
1049,4879.0,2023,1343.0,688.0,0.27526132404181186,0.1410125025620004
1051,8098.0,2023,3801.0,2449.0,0.469375154359101,0.3024203507038775
1055,10180.0,2023,4673.0,2151.0,0.45903732809430253,0.2112966601178782
1069,17086.0,2023,7292.0,3434.0,0.4267821608334309,0.2009832611494791
1073,101646.0,2023,46782.0,27245.0,0.46024437754559944,0.26803809298939457
1077,13529.0,2023,3107.0,2307.0,0.2296548155813438,0.17052258112203414
1081,27372.0,2023,13386.0,8260.0,0.4890398947829899,0.3017682303083443
1083,9929.0,2023,2710.0,1237.0,0.27293785879746196,0.12458455030718099
1089,52740.0,2023,23310.0,11199.0,0.44197952218430037,0.21234357224118316
1095,9088.0,2023,2912.0,1128.0,0.3204225352112676,0.12411971830985916
1097,54453.0,2023,25712.0,11466.0,0.47218702367179033,0.21056691091399923
1101,39482.0,2023,17755.0,8726.0,0.4496985968289347,0.22101210678283775
1103,13773.0,2023,4798.0,3413.0,0.3483627386916431,0.24780367385464314
1115,4959.0,2023,1577.0,537.0,0.31800766283524906,0.10828796128251664
1117,15367.0,2023,7331.0,4347.0,0.4770612351142058,0.2828788963363051
1121,9046.0,2023,2870.0,1548.0,0.31726730046429363,0.1711253592748176
1125,35380.0,2023,16264.0,11165.0,0.45969474279253814,0.3155737704918033
2020,40364.0,2023,16656.0,7876.0,0.4126449311267466,0.1951243682489347
2090,13592.0,2023,6046.0,3453.0,0.4448204826368452,0.2540464979399647
2170,8879.0,2023,3946.0,1580.0,0.44441941660096856,0.17794796711341368
4001,5261.0,2023,973.0,349.0,0.18494582778939364,0.06633719825128302
4003,15636.0,2023,7835.0,3865.0,0.5010872345868509,0.24718598106932718
4005,22780.0,2023,12023.0,7219.0,0.5277875329236172,0.316900790166813
4013,606114.0,2023,304361.0,147552.0,0.5021514104607384,0.24343935299300132
4015,24678.0,2023,11081.0,6044.0,0.4490234216711241,0.2449144987438204
4017,11783.0,2023,3284.0,1482.0,0.2787066112195536,0.12577442077569378
4019,153164.0,2023,76469.0,39443.0,0.49926222872215403,0.257521349664412
4021,30264.0,2023,12856.0,6977.0,0.4247951361353423,0.2305379328575205
4025,27420.0,2023,12286.0,7458.0,0.44806710430342817,0.27199124726477025
4027,24628.0,2023,9063.0,4157.0,0.36799577716420334,0.16879161929511124
5007,40975.0,2023,12863.0,5019.0,0.3139231238560098,0.12248932275777913
5031,20293.0,2023,8532.0,4521.0,0.4204405460010841,0.22278618242743803
5045,17781.0,2023,6710.0,2922.0,0.37736910185028966,0.16433271469546146
5051,14924.0,2023,7122.0,3416.0,0.47721790404717235,0.22889305816135083
5069,9466.0,2023,3124.0,1754.0,0.33002324107331504,0.18529473906613142
5085,5953.0,2023,2289.0,1057.0,0.3845120107508819,0.1775575340164623
5119,69995.0,2023,32550.0,16301.0,0.46503321665833275,0.23288806343310237
